database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	QC-1	QC-2	QC-3	QC-4	QC-5	QC-6	QC-7	QC-8	QC-9	QC-10	QC-11	QC-12	QC-13	NM-1	NM-2	NM-3	NM-4	NM-5	NM-6	NM-7	NM-8	NM-9	NM-10	NM-11	NM-12	NM-13	NM-14	NM-15	NM-16	NM-17	NM-18	NM-19	NM-20	NM-21	NM-22	NM-23	NM-24	PD-1	PD-2	PD-3	PD-4	PD-5	PD-6	PD-7	PD-8	PD-9	PD-10	PD-11	PD-12	PD-13	PD-14	PD-15	PD-16	PD-17	PD-18	PD-19	PD-20	PN-2	PN-3	PN-5	PN-6	PN-7	PN-8	PN-9	PN-10	PN-11	PN-12	PN-13	PN-14	PN-15	PN-16	PN-17	PN-18	PN-19	PN-20	RD-1	RD-2	RD-4	RD-5	RD-6	RD-8	RD-10	RD-11	RD-12	RD-13	RD-14	RD-15	RD-17	RD-18	RD-19	RN-1	RN-3	RN-4	RN-5	RN-6	RN-7	RN-8	RN-10	RN-12	RN-13	RN-14	RN-15	RN-16	RN-17	RN-18	RN-19	RN-20	RN-21
CHEBI:15862	C2H7N	CCN	"InChI=1S/C2H7N/c1-2-3/h2-3H2,1H3"	Ethylamine	174.1572				5.144			HMDB0013231					99				0.827086605	0.883855694	0.883207204	1.036201951	1.075518005	1.046241395	1.035858326	0.927914066	1.031280536	1.054031147	1.034605586	1.08223068	1.040279952	0.842549699	0.936503171	0.915634443	0.918189937	0.710350243	1.036922998	0.897306153	1.164889692	1.139811109	0.653129061	0.75936124	0.954761359	0.992101058	1.181225073	0.79270151	0.831418776	1.020991171	0.953914503	0.997833709	0.83901769	1.023263295	0.906899354	0.914631755	0.945967361	1.089151921	1.012974875	0.896118872	0.925026377	1.095721686	0.915215505	1.036828824	1.033690815	0.946400697	1.072178015	0.913944939	1.110302596	0.96600187	0.96753766	1.043865332	0.981939445	0.875117693	1.063755265	0.863074754	0.941549478	0.836678808	0.952601763	0.99050628	0.959164918	0.944942177	0.910225236	0.930084549	0.914753306	1.005424029	0.89393697	0.938571436	1.009555503	1.030832093	1.097443083	1.010785196	1.003938552	0.995441425	0.988472376	1.00057889	1.00351906	0.95366405	0.985699623	0.962164457	1.008815077	1.001713351	1.017818012	0.97866784	0.986471737	1.040324155	1.059395193	1.0848201	1.072279162	1.079973679	1.010087756	1.020665832	1.068744316	0.98196259	1.083927681	0.974086083	1.047663328	1.010206099	0.905837167	0.92374675	0.911947373	1.049250695	1.144108964	0.906793755	0.94548085	0.963591126	0.980312513	0.989871294
CHEBI:16830	CH5N	CN	"InChI=1S/CH5N/c1-2/h2H2,1H3"	Methylamine	171.1026				5.227			HMDB0000164					95.3				0.57032602	0.681020676	0.738929038	0.774771425	0.791558668	0.791525161	0.798332501	0.717328634	0.73647016	0.812753231	0.780030612	0.793508263	0.778492425	0.266479612	1.06194721	1.094401568	0.496774939	0.614410776	0.441612489	0.981823011	0.519587507	0.816587833	0.784622359	0.29544746	1.171250495	0.838869403	0.542365364	0.771907895	0.646351435	0.768986728	0.460667577	0.870740749	0.613646732	1.117060213	0.599121628	1.119612735	0.791109571	0.510928724	0.452689228	0.845753536	0.55080181	0.905907875	0.396084737	0.542131008	0.522972804	0.42256886	0.496686452	3.485074332	0.488117218	1.035284777	0.534736935	0.468775059	0.473029651	0.459641974	0.658150462	0.926478145	0.759856884	0.58312594	0.573868367	0.393697012	1.001827141	0.907284169	0.673344143	0.997033021	1.270407058	1.082762436	1.080983722	0.40117964	0.932759051	0.532785803	0.94486064	0.68213443	0.466448842	0.438572267	0.84845554	1.060718085	0.655574054	0.600864555	0.565430633	0.524747592	0.450422482	0.465798117	0.699636006	0.618950885	1.619993676	0.642002422	3.438511602	0.618241052	0.905717357	0.787150829	0.618812885	0.855388985	1.071466783	0.446099652	0.735942127	0.443744998	1.277851407	1.290819623	0.710502828	0.730322813	0.334430098	0.782556363	0.384848775	0.54586671	0.582747237	0.570844411	0.453116088	1.086986066
				O-ethylhydroxylamine	146.1				5.363								79.5				0.001238908	0.001123703	0.001449756	0.001515633	0.001651082	0.001585836	0.001608444	0.001231436	0.001351864	0.001603128	0.001495498	0.001730983	0.001685979	0.000928208	0.001413646	0.001374557	0.001223057	0.001490485	0.001769878	0.001242584	0.001071265	0.002315907	0.001226034	0.000867269	0.001282961	0.001181312	0.002073483	0.001114509	0.001358173	0.001311867	0.001246417	0.001294791	0.00114683	0.001276003	0.001506975	0.001478778	0.001234879	0.001432858	0.001609694	0.001221988	0.002330011	0.00113184	0.001793069	0.001585435	0.001542334	0.001379215	0.001944952	0.001495718	0.002082283	0.00179289	0.001398573	0.001782599	0.001595532	0.001600129	0.001444952	0.001591833	0.001995665	0.001348661	0.001514981	0.001548512	0.00175191	0.001291958	0.001636838	0.001524477	0.001638357	0.001366439	0.001636171	0.001611676	0.001390116	0.001951962	0.001601141	0.001620671	0.001803564	0.001449186	0.001386179	0.001620915	0.001716786	0.001155323	0.002057011	0.00178073	0.001547162	0.001574952	0.001425468	0.001437065	0.00252218	0.001503169	0.001477789	0.001159715	0.001340015	0.001363623	0.001525222	0.001396891	0.001405072	0.001404544	0.001615749	0.001297874	0.001658529	0.002304225	0.001166373	0.001289327	0.001198641	0.001256016	0.001360032	0.001280708	0.001329321	0.001877295	0.001286679	0.001552599
CHEBI:55381	C6H12O2	CC(=O)CC(C)(C)O	"InChI=1S/C6H12O2/c1-5(7)4-6(2,3)8/h8H,4H2,1-3H3"	Diacetone alcohol	115.1				5.46			HMDB0031511					74.3				0.009756589	0.010161937	0.010430976	0.011022388	0.000391149	0.000350233	0.011322942	0.010238706	0.010759676	0.011160894	0.000799761	0.00043391	0.000438798	0.000219107	0.003001124	0.014213924	0.010481108	7.1691E-05	0.012906279	0.002811326	0.002958053	0.013825324	0.001753535	0.011470918	0.00366632	0.003058277	0.011562352	0.002534345	0.011944488	0.002868379	0.027080724	0.002121404	0.011513527	0.008575645	0.028271008	0.002473598	0.013117125	0.012096178	0.002633666	0.002295563	0.014230852	0.002585077	0.008440549	0.011992133	0.013135448	0.002608903	0.015351072	0.009209406	0.014699883	0.002807244	0.003385044	0.012467307	0.012011449	0.008971728	0.015901351	0.013795657	0.008581334	0.010327181	0.011015036	0.014468123	0.010914348	0.003278134	0.01621667	0.003170793	0.028291131	0.014471222	0.014588302	0.010195076	0.012859685	0.022033573	0.012631978	0.003101885	0.003078314	0.012389837	0.002988507	0.013587969	0.008616702	0.003003092	0.015458754	0.019565987	0.002659589	0.002992251	0.002906578	0.009279151	0.00260544	0.002678241	0.002544532	0.003339298	0.016441323	0.003257198	0.011535206	0.008815041	0.010844146	0.010928808	0.014066136	0.011118723	0.003140936	0.002590014	0.00246065	0.00343013	0.013480346	0.002891705	0.014698619	0.010771053	0.011448568	0.002501657	0.012628556	0.003134101
CHEBI:33118	BH3O3	[H]OB(O[H])O[H]	InChI=1S/BH3O3/c2-1(3)4/h2-4H	Boric acid	221.1				5.482								82.7				0.00817895	0.010862079	0.011954187	0.013865197	0.016228594	0.014754314	0.014855085	0.013809223	0.016986652	0.020993944	0.021506354	0.022574597	0.022505012	0.004228838	0.015708509	0.013142572	0.013126447	0.004257937	0.01366398	0.011779879	0.012368149	0.01456407	0.008453294	0.003848624	0.022247763	0.01535549	0.012684028	0.004511862	0.008337045	0.012813386	0.011425314	0.004726886	0.009691461	0.010414316	0.017059001	0.009957076	0.017796504	0.012788272	0.014565576	0.010766113	0.024109825	0.008752776	0.005770909	0.012740913	0.010749206	0.012122903	0.014861973	0.009709903	0.021654032	0.010886951	0.008721929	0.015370826	0.013584202	0.017574001	0.007861717	0.012092442	0.015351654	0.010408317	0.015429163	0.015989963	0.015400253	0.01649704	0.013357017	0.01665173	0.013801691	0.017174077	0.015628802	0.015573917	0.009164283	0.016083516	0.010939944	0.015389442	0.017735517	0.009945387	0.020705319	0.015766538	0.01154066	0.014403825	0.014670627	0.016457311	0.013246806	0.01592416	0.013435995	0.011686691	0.014972187	0.014124867	0.0144467	0.029046169	0.021039754	0.014094752	0.016034513	0.019446909	0.024753671	0.016659	0.016084931	0.018968505	0.017901449	0.012677092	0.011581446	0.01279034	0.020033296	0.014326583	0.022058063	0.016457195	0.019690626	0.023471275	0.015342435	0.014713919
CHEBI:25998	C9H10O3	OC(Cc1ccccc1)C(O)=O	"InChI=1S/C9H10O3/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8,10H,6H2,(H,11,12)"	3-phenyllactic acid	193.1				5.494			HMDB0000779					78.6				0.004162851	0.004697324	0.005189173	0.005865546	0.006400807	0.004758884	0.005311605	0.004591743	0.004892138	0.005718403	0.005510585	0.005545766	0.005684942	0.003516164	0.004265919	0.004968897	0.004556603	0.001131986	0.004764597	0.004011831	0.005142161	0.005086509	0.000614821	0.004381477	0.005643112	0.00510903	0.0055033	0.003598307	0.004839423	0.005441328	0.004244633	0.004698906	0.004645164	0.00491034	0.004802169	0.005148785	0.005206512	0.005879933	0.005329532	0.004753185	0.004738767	0.004943759	0.004693876	0.004497969	0.005175382	0.004674459	0.005111391	0.004534436	0.005675683	0.004935816	0.005027899	0.005501142	0.004901578	0.004715105	0.004666067	0.004616112	0.005070734	0.004408796	0.004547858	0.005232242	0.005074623	0.005031621	0.005026338	0.005067879	0.004524625	0.00544358	0.004979787	0.005160108	0.005160963	0.005198128	0.005455862	0.005584444	0.005331968	0.005394522	0.005384394	0.00564634	0.00537932	0.005148966	0.004910658	0.004677277	0.0051828	0.003802596	0.005341895	0.005017286	0.004416886	0.005202223	0.004973582	0.00466701	0.005325078	0.005771611	0.005219869	0.004981294	0.005422592	0.004990134	0.00534654	0.005597129	0.004793042	0.00539501	0.004324642	0.004674222	0.004373064	0.005440833	0.00507279	0.004367564	0.005146403	0.004828809	0.005260039	0.004637452
CHEBI:17418	C5H10O2	CCCCC(O)=O	"InChI=1S/C5H10O2/c1-2-3-4-5(6)7/h2-4H2,1H3,(H,6,7)"	Valeric acid	159.1013				5.499			HMDB0000892					97.3				0.233321683	0.241463136	0.253081919	0.28315871	0.289262148	0.290045145	0.290929943	0.248529445	0.267144275	0.298200882	0.290394197	0.29353835	0.291100513	0.334570092	0.088795748	0.420775298	0.271555453	0.040593933	0.384160195	0.053381522	0.016279556	0.415199077	0.039466367	0.316196989	0.058686655	0.013439644	0.316923839	0.044489757	0.337114545	0.017855796	0.925310612	0.067882736	0.317192638	0.189385498	1.05339688	0.079684062	0.385990438	0.327656472	0.168153451	0.075646289	0.396457408	0.022982281	0.150370196	0.311064649	0.325268159	0.155187331	0.433411663	0.215083778	0.441890915	0.031154643	0.052385661	0.336284808	0.318360829	0.173849449	0.495681795	0.415333109	0.149620195	0.255224155	0.275543736	0.42629979	0.254309476	0.051567748	0.531257578	0.05266272	0.988712584	0.47567947	0.461018893	0.239603791	0.368946435	0.796312113	0.377597014	0.064323203	0.225908401	0.361037572	0.074763189	0.417168164	0.17371979	0.040624792	0.499230305	0.6510596	0.075575078	0.078873209	0.033455905	0.198020348	0.012408704	0.201228425	0.062169161	0.028686193	0.51097541	0.030429609	0.30795652	0.165383147	0.254461988	0.274413436	0.392093665	0.282729216	0.020536237	0.005144597	0.144340839	0.057216935	0.397457256	0.065237443	0.451919486	0.280040109	0.319385577	0.041918465	0.329286453	0.049055347
CHEBI:27432	C18H30O2	CC\C=C/C\C=C/C\C=C/CCCCCCCC(O)=O	"InChI=1S/C18H30O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h3-4,6-7,9-10H,2,5,8,11-17H2,1H3,(H,19,20)/b4-3-,7-6-,10-9-"	Linolenic acid	93				5.551			HMDB0001388					69				0.00033688	0.000447425	0.000421721	0.000388078	0.000638638	0.000319956	0.000443536	0.000396344	0.000358539	0.000331046	0.000376634	0.000334289	0.000252791	0.000375691	0.000641448	0.000328568	0.000298969	0.000571081	0.000235382	0.00081247	0.000373156	8.60129E-05	0.001769163	0.000156031	0.001637911	0.000646638	0.00083829	0.000549604	0.000325721	0.000340659	0.000186836	0.000453467	0.000296847	2.20388E-05	0.000285219	0.00054452	0.000410714	0.000376422	0.000522932	0.000512142	0.000305155	0.000861183	0.000210622	0.000234663	0.00054947	0.000416512	0.000285849	7.69725E-05	0.000219147	0.001012442	0.00101778	0.000557186	0.000599446	0.000257592	0.000194008	0.000674966	0.000449144	0.000296324	6.95021E-05	0.000644018	0.000648834	0.000704604	0.000256436	0.000790988	0.000489264	0.000477502	0.000306261	0.00046412	0.000232099	0.00021733	0.000304325	0.00046596	0.000192918	0.000169619	0.000628569	0.000216553	0.000530013	0.000310301	0.000321701	0.000114238	0.000172795	2.48406E-05	0.000276307	0.000393772	0.000487468	0.000186729	0.00081586	0.000359627	0.000111326	0.000529353	0.000184537	0.000204125	0.000304054	0.000350506	0.000404895	0.000143043	0.000642901	0.000494114	0.00017976	0.000202089	0.000265686	0.000361344	0.000135135	0.000354092	0.000272448	0.002683837	0.000341619	0.000272057
CHEBI:31827	C9H14N2O3	C(C)C1(CC)C(=O)N(C)C(NC1=O)=O	"InChI=1S/C9H14N2O3/c1-4-9(5-2)6(12)10-8(14)11(3)7(9)13/h4-5H2,1-3H3,(H,10,12,14)"	Metharbital	170.1019				5.579			HMDB0014606					90.7				0.001203812	0.001216689	0.001198404	0.001447809	0.001485819	0.00136659	0.001417004	0.001218567	0.001306715	0.00145181	0.001354004	0.001511851	0.001373923	0.000961996	0.001274557	0.001606142	0.001309052	0.001068327	0.001204174	0.001224643	0.001749096	0.001352192	0.000932091	0.000911288	0.001425778	0.001757493	0.001319843	0.001034905	0.00099866	0.001394485	0.001040787	0.001256698	0.001084943	0.001273649	0.001237194	0.00129141	0.001236654	0.001433834	0.001401679	0.001457367	0.001453944	0.001405804	0.001421339	0.001093474	0.001579996	0.001316301	0.001472269	0.001218502	0.001325687	0.001553723	0.001420505	0.001443491	0.001404423	0.001408604	0.001222839	0.001237844	0.001218951	0.001246827	0.001424161	0.001439022	0.001345091	0.001507862	0.001357904	0.001286477	0.001249915	0.001586719	0.001501441	0.00149141	0.001481735	0.001601393	0.001657432	0.001694814	0.001549786	0.001616745	0.001508896	0.001564307	0.001452157	0.001521136	0.001316701	0.001176929	0.001518015	0.001477877	0.001724895	0.001405057	0.001361216	0.001395372	0.001083606	0.001586912	0.001393625	0.001578145	0.001414675	0.001518455	0.00164847	0.001400286	0.001505013	0.001602451	0.001739638	0.001818373	0.001217274	0.001334704	0.001169861	0.001528715	0.001239608	0.001219599	0.001248086	0.001271538	0.0013258	0.001439442
CHEBI:87393	C6H14O	CCCCCCO	"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3"	1-hexanol	160.0833				5.631			HMDB0012971					95.8				0.001671306	0.001758093	0.001909185	0.002031069	0.002103528	0.002156309	0.001945251	0.001492896	0.001923045	0.001826156	0.001832737	0.001790727	0.001883488	0.000865872	0.001153644	0.001309535	0.001810871	0.001192949	5.73152E-05	0.001629992	0.001203484	7.47374E-05	0.001101394	0.000907566	0.001326762	0.001108549	0.001348583	0.001333267	0.001930511	0.002094467	0.001757829	0.001035967	0.001128361	0.002130728	0.001935341	0.001028942	0.001261578	0.000709459	0.00147539	0.002442393	0.004039316	0.001747523	0.001770879	0.002498988	0.000776849	8.20935E-05	0.003039575	0.001377188	0.002960607	0.005347274	0.006016049	0.001960117	0.001772416	0.001316405	0.00100051	0.001056242	0.001352248	0.000564493	0.001129264	0.000964961	0.003073406	0.00341428	0.001397676	0.006768916	0.002286343	0.003647423	0.003684115	0.00149117	0.001561313	0.0017995	0.001571405	0.001883535	0.006629398	0.000990167	0.001682971	0.002844178	0.001345006	0.000741047	0.002471198	0.002250439	0.001686613	0.001859225	0.002781741	0.001373993	0.001066212	0.001712497	0.002805797	0.000910429	0.001681107	0.000824688	0.001366603	0.002685937	0.003921693	0.000646669	0.001023667	0.00078357	0.001939712	0.002902457	0.000571188	0.001259176	0.001111552	0.001754259	0.001333255	0.001938242	0.002371761	0.001393899	0.001010603	0.002420451
