Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Cohort]	Term Source REF	Term Accession Number
QC-1	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				pooled quality control sample	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Sample collection	QC-1			
QC-2	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				pooled quality control sample	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Sample collection	QC-2			
QC-3	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				pooled quality control sample	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Sample collection	QC-3			
QC-4	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				pooled quality control sample	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Sample collection	QC-4			
QC-5	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				pooled quality control sample	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Sample collection	QC-5			
QC-6	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				pooled quality control sample	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Sample collection	QC-6			
QC-7	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				pooled quality control sample	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Sample collection	QC-7			
QC-8	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				pooled quality control sample	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Sample collection	QC-8			
QC-9	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				pooled quality control sample	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Sample collection	QC-9			
QC-10	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				pooled quality control sample	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Sample collection	QC-10			
QC-11	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				pooled quality control sample	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Sample collection	QC-11			
QC-12	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				pooled quality control sample	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Sample collection	QC-12			
QC-13	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				pooled quality control sample	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Sample collection	QC-13			
NM-1	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	NM-1	healthy controls (HC)		
NM-2	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	NM-2	healthy controls (HC)		
NM-3	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	NM-3	healthy controls (HC)		
NM-4	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	NM-4	healthy controls (HC)		
NM-5	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	NM-5	healthy controls (HC)		
NM-6	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	NM-6	healthy controls (HC)		
