Samples	78_15	89_39	29_8	53_51	37_4	67_56	39_61	83_1	20_14	12_40	9_52	47_54	30_70	75_75	15_9	79_11	42_49	95_64	38_68	34_69	27_28	2_3	94_7	24_10	90_45	70_13	44_59	54_66	7_72	28_47	4_19	77_5	50_20	84_32	64_43	43_48	14_22	25_55	40_74	17_57	32_58	23_60	73_67	93_73
Glycine	0.6641831	0.5823931	1.2106617	0.9025589	1.5920184	1.0904165	1.1692121	1.6381223	0.6308562	0.8260433	1.7375804	0.7042194	0.6814035	0.6332008	0.7727448	0.579482	1.1678283	1.6124281	1.1343096	0.7655554	0.9525287	0.8253839	1.2861586	0.5581865	0.6274818	0.4628444	1.1154824	0.9035295	0.8830181	1.0904958	0.9473865	2.1236158	0.922145	0.8175267	0.8128674	0.6357194	0.7937877	1.0216081	0.9692261	0.9331046	0.6881318	0.7323945	0.534538	1.1282173
Alanine	1.7360074	1.5325778	1.3558606	0.677845	1.4987369	1.4323758	0.8821346	1.2836593	1.2464781	1.3750416	0.9842472	0.8999998	1.1242248	0.8429006	0.5860075	0.9042016	0.4564879	1.4082533	0.7840911	0.9047781	0.7766194	0.909623	0.939652	1.0166192	1.3274073	1.2718492	1.199016	1.4981781	0.9596641	0.4615636	1.4065416	1.6312005	0.8684013	1.1782572	0.3032742	0.5391739	0.617758	0.6628346	0.6946242	0.752829	0.9677075	1.025939	0.4017568	0.54564
Serine	0.9829767	1.0444886	1.7308137	1.0926756	1.4756829	1.4746297	2.5033116	1.575828	1.3385214	0.8848087	1.6991237	0.7968586	0.9192123	0.7355677	0.7708518	0.5162596	0.9812571	1.4750102	1.32963	0.8938499	0.6552542	0.7598502	1.4725655	1.2106947	1.0990299	0.9556347	1.7990258	1.3710048	0.9542026	0.8436883	1.1885704	0.9184323	0.5632652	1.1449915	0.5209699	0.6202222	0.6817494	0.7831688	0.9006959	0.7908329	1.4333824	1.2041231	0.5773901	1.0574945
Proline	0.7597914	0.8491804	1.646295	0.6463434	1.2660828	1.03686	1.5488434	1.9455101	0.2975706	0.7245077	2.0106284	0.3755476	0.5053424	0.4443746	0.6915176	1.0376806	1.0670454	2.2580843	0.4498044	0.8171973	1.1038683	0.891808	1.6111794	0.8486903	0.7378483	0.8840724	1.5197147	1.192638	0.8397884	1.1216207	1.1155445	2.7311858	1.0329448	0.9254012	0.8811172	1.5605294	0.5184425	1.2733069	1.1600215	1.2800334	1.0039367	0.6423728	0.4748521	0.6740115
Valine	2.1123335	1.7316887	0.6393724	0.5542947	0.7366801	1.2005641	0.3952106	0.4788397	0.7964143	0.588392	0.3540782	0.8398212	0.4394334	0.9349184	1.0544933	1.9007148	0.6241232	1.7163274	0.8223594	2.0754078	1.3716302	0.9910592	1.3018425	1.6951284	1.3834101	2.0828436	1.9756209	1.9672531	1.4232912	1.0796074	1.6765127	1.9605937	1.0303671	1.6503612	0.9260828	0.7669943	1.0938641	1.044579	1.5308892	0.9143743	1.4912305	1.3014527	0.6856599	0.9976423
Threonine	1.4949002	1.7555501	0.6590926	2.0716696	1.4338568	1.3959911	1.188197	0.9798629	1.3904009	1.6021249	0.8731791	1.2200641	0.9156117	0.5758664	0.8803781	1.2022605	0.7276234	1.8626756	0.6528311	1.2333679	1.0436309	1.057612	1.0775138	1.3481587	1.0210251	1.5961182	1.3193239	1.2711617	0.7961868	0.6404125	1.2366547	4.0161861	0.8727233	1.230176	0.3628089	0.5585195	0.7979847	0.5941755	0.6607964	0.8690401	1.0391445	1.2550014	0.4274285	0.6613131
Cysteine	1.4171689	1.4734435	0.4551778	1.0497922	1.2607651	1.7873594	0.515876	1.4091313	0.6174308	0.6375454	0.3195509	0.9146241	0.3606892	0.4385774	2.2195738	0.8041446	0.8081371	1.6233584	0.7402441	0.5400555	1.1880371	1.016611	1.4403393	1.1333957	1.4225637	1.1575495	1.8072541	2.3504256	0.8123084	1.4974797	1.1474504	5.1495362	1.1869762	1.4543885	1.1801322	0.6565658	0.8575633	1.1657767	1.1814828	0.5451285	1.0520187	1.3806928	0.7102909	1.2315303
Isoleucine	1.9347372	1.8855	0.259179	0.281391	0.2825	0.9665433	0.1832941	0.2133866	0.2245106	0.2880937	0.1094119	0.3209901	0.1222943	0.3152498	0.5426614	0.7960547	0.2885958	27.5568587	0.3221111	0.6349825	0.6836622	0.5193573	0.9563821	0.9102703	1.1119867	1.2389915	1.0675647	1.2870446	0.9094947	0.4542326	0.9166369	1.8187265	0.4452643	0.9842242	0.4575916	0.3047193	0.453874	0.5436721	14.3537449	0.4807911	0.9398374	0.6420502	0.2819753	0.3427764
Leucine	3.4956055	3.8313687	0.6042936	0.5315849	0.7971574	2.3686344	0.480119	0.5805934	0.6388995	0.6258188	0.3916192	0.8041608	0.4167535	1.080613	0.9512575	1.2971912	0.6327917	7.0530587	0.7137978	1.6132367	1.1755929	1.0071634	1.6158235	1.4044528	1.8465434	2.7358655	2.0502208	2.1734096	1.379386	0.9310218	1.7042178	2.802355	0.8533214	1.8008842	0.9644339	0.6029584	0.8491023	1.0639249	3.4995823	0.9118971	1.2643158	1.230911	0.6146511	0.8166373
Aspartate	0.8033782	1.5090718	0.5828385	1.1247875	0.378222	1.245822	0.5563496	0.5606232	0.9637705	1.2966208	3.5855534	1.2097068	3.114389	0.3790958	0.2218817	0.8057461	0.6348506	0.5702223	1.0014629	0.7053994	1.1385907	1.2427008	1.2603703	0.6349976	4.036396	1.2379109	0.7896001	1.2242562	0.9211091	0.739468	1.3544014	1.0933233	0.5324741	1.5703126	1.5416392	1.3352815	0.6363646	0.7410479	1.1064516	0.5355146	2.1602296	2.9571548	0.5572942	1.0069699
