Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
Ctrl-1	Extraction			Ctrl-1	Chromatography	Agilent 1290 Infinity UHPLC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000871									Mass spectrometry	positive	60-512	Agilent 6540 Q-TOF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000618	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084			Data transformation		FILES/DERIVED_FILES/LCMS_pos/20210222_s007-r001.mzXML	Metabolite identification		m_MTBLS8802_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
Ctrl-2	Extraction			Ctrl-2	Chromatography	Agilent 1290 Infinity UHPLC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000871									Mass spectrometry	positive	60-512	Agilent 6540 Q-TOF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000618	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084			Data transformation		FILES/DERIVED_FILES/LCMS_pos/20210222_s014-r001.mzXML	Metabolite identification		m_MTBLS8802_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
Ctrl-3	Extraction			Ctrl-3	Chromatography	Agilent 1290 Infinity UHPLC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000871									Mass spectrometry	positive	60-512	Agilent 6540 Q-TOF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000618	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084			Data transformation		FILES/DERIVED_FILES/LCMS_pos/20210223_s023-r001.mzXML	Metabolite identification		m_MTBLS8802_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
Ctrl-4	Extraction			Ctrl-4	Chromatography	Agilent 1290 Infinity UHPLC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000871									Mass spectrometry	positive	60-512	Agilent 6540 Q-TOF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000618	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084			Data transformation		FILES/DERIVED_FILES/LCMS_pos/20210222_s006-r001.mzXML	Metabolite identification		m_MTBLS8802_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
Ctrl-5	Extraction			Ctrl-5	Chromatography	Agilent 1290 Infinity UHPLC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000871									Mass spectrometry	positive	60-512	Agilent 6540 Q-TOF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000618	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084			Data transformation		FILES/DERIVED_FILES/LCMS_pos/20210222_s020-r001.mzXML	Metabolite identification		m_MTBLS8802_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
STEMIT1-1	Extraction			STEMIT1-1	Chromatography	Agilent 1290 Infinity UHPLC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000871									Mass spectrometry	positive	60-512	Agilent 6540 Q-TOF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000618	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084			Data transformation		FILES/DERIVED_FILES/LCMS_pos/20210222_s016-r001.mzXML	Metabolite identification		m_MTBLS8802_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
STEMIT1-2	Extraction			STEMIT1-2	Chromatography	Agilent 1290 Infinity UHPLC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000871									Mass spectrometry	positive	60-512	Agilent 6540 Q-TOF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000618	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084			Data transformation		FILES/DERIVED_FILES/LCMS_pos/20210222_s004-r001.mzXML	Metabolite identification		m_MTBLS8802_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
STEMIT1-3	Extraction			STEMIT1-3	Chromatography	Agilent 1290 Infinity UHPLC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000871									Mass spectrometry	positive	60-512	Agilent 6540 Q-TOF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000618	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084			Data transformation		FILES/DERIVED_FILES/LCMS_pos/20210222_s010-r001.mzXML	Metabolite identification		m_MTBLS8802_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
STEMIT1-4	Extraction			STEMIT1-4	Chromatography	Agilent 1290 Infinity UHPLC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000871									Mass spectrometry	positive	60-512	Agilent 6540 Q-TOF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000618	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084			Data transformation		FILES/DERIVED_FILES/LCMS_pos/20210222_s015-r001.mzXML	Metabolite identification		m_MTBLS8802_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
STEMIT1-5	Extraction			STEMIT1-5	Chromatography	Agilent 1290 Infinity UHPLC	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000871									Mass spectrometry	positive	60-512	Agilent 6540 Q-TOF	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000618	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	time-of-flight	MS	http://purl.obolibrary.org/obo/MS_1000084			Data transformation		FILES/DERIVED_FILES/LCMS_pos/20210222_s009-r001.mzXML	Metabolite identification		m_MTBLS8802_LC-MS_positive_hilic_metabolite_profiling_v2_maf.tsv
