Sample	Ctrl1	Ctrl2	Ctrl3	Ctrl4	Ctrl5	STEMIT1-1	STEMIT1-2	STEMIT1-3	STEMIT1-4	STEMIT1-5	STEMIT1-6	STEMIT1-7	STEMIT1-8	STEMIT1-9	STEMIT1-10	STEMIT2-1	STEMIT2-2	STEMIT2-3	STEMIT2-4	STEMIT2-5	STEMIT2-6	STEMIT2-7	STEMIT2-8	STEMIT2-9	STEMIT2-10
Label	Ctrl	Ctrl	Ctrl	Ctrl	Ctrl	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2
L-Alanine	27231.35335	38917.67772	26534.96199	29771.33285	22523.88504	12131.45516	31783.27946	25135.03414	22247.52583	24707.83103	29252.11781	14616.9392	22506.48587	50960.29241	33007.94741	22488.25344	38026.53287	18636.98136	17586.98355	23746.47902	14870.22383	29863.46742	11528.97128	14704.98251	21809.48259
Senecioic acid	0	0	0	3357.524139	0	0	0	0	2291.604092	0	3217.325966	0	0	0	0	1824.915538	0	0	0	0	907.5693019	0	0	0	0
L-a-aminobutyric acid	18707.82491	23244.91924	19339.67668	27002.72308	24193.36437	14305.57352	18363.33084	9052.070597	13673.95328	20316.10064	23781.06479	19675.89137	16308.92174	21192.30346	28143.46906	15543.84094	22575.35044	12982.19813	14211.42786	18139.31144	11211.12214	23727.00573	10304.33594	11282.82704	27151.48242
D-Serine	0	1356.753785	1229.141532	0	0	0	0	543.5902045	0	0	1890.748772	1185.61255	0	0	0	0	0	1068.643337	0	991.9157636	1287.454045	0	0	0	0
Creatinine	313979.694	321169.2701	247844.5905	316007.969	349256.1957	387783.4929	246911.0444	180018.1091	280411.4391	274185.6054	311734.2897	177988.6044	323183.4169	235390.5224	238314.5684	753495.9551	274027.7247	207153.8153	373078.5729	178025.9582	202813.6189	335526.5922	258418.8246	185054.2987	215005.8906
Betaine	940857.6816	1088263.053	746940.493	1025425.56	1093255.677	596576.8527	869133.8079	498089.4633	887405.5407	875075.3555	1028954.719	619559.253	837632.6238	958926.1976	849129.008	864441.417	987806.4761	725587.5835	1073124.226	740000.5329	588969.317	1125243.109	608110.647	790568.394	870071.5482
L-Homoserine	9556.746641	10363.0565	12299.99314	7451.587042	9116.655787	5630.083703	7020.582823	3912.397608	4723.909692	8016.191358	12504.83943	7471.219715	5681.054982	5318.495866	6781.953744	24733.52059	10318.36703	6817.372128	6615.30423	8133.741222	8079.162524	11136.64101	4461.81012	4907.077886	9670.77832
Pyroglutamic acid	25491.40522	35893.54195	14066.65986	26728.91538	28325.91946	24241.35486	31440.81635	55175.72112	64425.89619	141839.1118	43085.92399	0	66485.77058	87605.63536	52415.83145	51870.13709	52015.25846	24981.8682	106678.2392	65970.36045	17138.44639	0	29361.46483	12472.91962	36300.1403
Pipecolic acid	77495.49442	54984.81639	36471.65257	120675.9601	268331.4699	23938.81448	77671.08638	113461.1366	176315.193	103494.878	29702.75379	74527.40002	163479.7545	114660.148	76671.46611	45609.25553	102788.5366	126423.2822	194569.7057	123577.8425	23937.61144	204943.3005	106014.7282	106751.1807	76500.90625
5-Aminolevulinic acid	58768.21277	58596.55635	28617.21705	64486.44356	67057.78008	28235.26475	42467.87944	25478.64262	47345.52219	48276.38238	63962.53613	37125.07996	58005.98662	50543.21035	55985.32166	50309.85616	48558.41466	29610.2314	54205.93946	29557.47905	36231.07777	58125.8705	35751.66025	38664.40714	53188.78906
Creatine	308546.1681	596735.0778	439321.8281	456776.1106	347793.34	176659.9671	534673.0068	376243.6808	336181.7792	378587.1779	496414.3642	231004.2178	339753.7878	785657.3797	507354.9641	105951.5309	574472.8021	303742.4117	262151.2011	119097.7732	202961.8098	301627.8948	97089.61155	134504.1253	341187.5
L-Alloisoleucine	877399.3132	953122.9383	766715.5546	874286.305	974453.297	598353.325	796824.057	438223.1382	804548.5396	843313.9709	994048.0027	601996.32	871016.7841	949678.5986	793876.2361	786724.671	919727.1081	664299.6603	986192.7284	696780.7538	547976.8569	1019766.428	607460.3432	659355.9351	784821.9341
Aspartic acid	0	2366.512714	0	1810.852946	0	0	1414.761428	770.2846171	1383.660056	1601.111998	0	0	1856.410966	0	1604.797917	0	1599.049365	0	0	0	0	0	0	1208.065297	0
Hypoxanthine	25621.16349	35754.3264	11960.60355	44203.03922	25784.38467	391791.8607	590431.7132	423282.2864	788007.65	1040210.744	66635.60191	18328.56748	817615.9646	867950.3717	887283.1945	251328.161	225444.133	65474.78844	426877.6526	493921.9116	25297.08525	35094.77778	47626.33256	26567.69847	36994.3284
3-Pyridylacetic acid	189199.3645	0	32854.86721	11588.51313	36832.86206	0	42115.83098	0	0	0	0	0	0	0	0	27473.18682	0	4844.761053	30578.64231	151603.0865	0	25451.01893	17680.60427	5831.646906	7482.032227
Urocanic acid	0	5167.159207	0	5879.942244	4426.385204	0	0	2304.705659	0	6015.707208	3526.853405	2845.444298	3541.94708	3853.920907	4432.416979	0	2373.39233	2884.581844	4260.193946	0	4666.572205	2265.638498	1319.696873	995.6812556	4381.198815
D-Glutamine	31307.90235	30416.21752	22965.65357	33413.51877	30676.78707	15614.73732	25468.39913	8843.829567	19443.86204	13689.60176	29791.60053	24265.0815	20534.52655	9520.397517	21783.72925	20889.7652	25470.7693	17875.99286	15758.7433	17086.30137	23658.24892	35233.56805	11570.45016	17292.79661	31232.41992
D-Lysine	23629.39951	24048.03153	34653.89469	25746.41664	35308.99801	17173.15245	12908.32204	14961.74598	17087.66621	22486.83507	23681.18414	19417.19817	21056.48818	21694.31424	19294.80797	26275.30853	23834.94264	21415.36221	20726.15478	19262.36915	12942.28154	34637.50909	15484.30964	15665.5645	29702.375
Glutamic acid	9948.527921	20491.80835	12311.76633	11073.22699	13484.32778	6330.407367	8735.268569	6986.626172	10847.88432	14944.10674	17096.87912	7350.476866	8547.492706	17403.53771	10660.79362	11754.52341	8929.60181	9085.953612	16243.58585	10933.19007	6854.441911	15027.62301	4111.195484	5083.890244	7381.207115
