Timestamp,Your Name (English or Mandarin OK),"Paper Citation (citation format, as sent to you)",PMID (if applicable),"Is this an original study of heart failure, and not a review paper, clinical device study, or protocol paper?
",Is this a study of human adults? ,"How is heart failure defined in the study? 

Possible answers include medical chart review, EKG, NYHA I-III, or did not specify. ",Country of Study Population ,"Does this study include an untargeted metabolomics measure? For example, LCMS, GCMS, NMR.

If no, select ""No"" then skip the rest of this form, and click submit. ",What type of metabolomics is included in this study,What type of sample is used for metabolomics in this study?,"Does this study measure, or sequence, the microbiome?","If it did measure the microbiome, please briefly provide the body site samples and sequencing method (eg, 16S stool)","Is the metabolomics data from this study publicly available? 

In the data availability statement, it should say if the data was uploaded to a general repository or national library. If it says ""data available upon request"", select no. ","Please copy and paste the data availability statement from the paper here. (Response might be ""No statement"")
","Representativeness of the exposed cohort
Does the study cohort represent heart failure patients in the real world? In other words, was sampling unbiased?
Select 0 or 1:
","Selection of the non-exposed cohort
Basically, are the controls recruited via the same method as those who had heart failure?
Select 0 or 1:
","Ascertainment of exposure
Enter 0 or 1:
Is there an unbiased/biological measure of the exposure? For us, exposure is heart failure status. ","Ascertainment of exposure done prospectively or retrospectively
Enter 0 or 1:
Are patients recruited retrospectively (after heart failure) or prospectively (before heart failure)?","Adjustment for confounding (rendering comparability of cohorts on the basis of the design or analysis)
Add points: Minimum 0, Maximum 2
Does the study mention that smoking, diabetes, or other confounding variables are the same across groups? Or do they use age- and smoking-matched controls? ","Assessment of outcome
Our outcome here is the details of the metabolomics.
Enter 0 or 1:",Do you have other comments or things you want me to know on this paper? ,"What is the number of participants in each condition in this study?

Only need to answer if this is a heart failure study in human adults with metabolomics measures. 

For examine,  HF n = 25; healthy control n = 22"
5/9/2024 20:41:56,YiChan Lee,The gut microbial metabolite trimethylamine N-oxide and cardiovascular diseases,3,"No, review paper of heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:46:48,EW,Acta Univ Carol Med Monogr. 1975;(66):1-165.,181973,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/29/2024 20:54:32,Yi-Chan Lee,Acta Univ Carol Med Monogr. 1975;(66):1-165.,181973,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:46:21,EW,Scott Med J. 1976 Sep;20(5):265-8. doi: 10.1177/003693307502000519.,1265477,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/29/2024 20:53:02,Yi-Chan Lee,Scott Med J. 1976 Sep;20(5):265-8. doi: 10.1177/003693307502000519.,1265477,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:39:58,EW,J Appl Bacteriol. 1992 Jan;72(1):57-64. doi: 10.1111/j.1365-2672.1992.tb04882.x.,1541601,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/29/2024 20:45:01,Yi-Chan Lee,J Appl Bacteriol. 1992 Jan;72(1):57-64. doi: 10.1111/j.1365-2672.1992.tb04882.x.,1541601,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:41:18,EW,Antimicrob Agents Chemother. 1991 Dec;35(12):2467-72. doi: 10.1128/AAC.35.12.2467.,1810180,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/29/2024 20:47:25,Yi-Chan Lee,Antimicrob Agents Chemother. 1991 Dec;35(12):2467-72. doi: 10.1128/AAC.35.12.2467.,1810180,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/29/2024 20:49:25,Yi-Chan Lee,Am J Cardiol. 1991 Sep 3;68(7):64B-68B. doi: 10.1016/0002-9149(91)90386-y.,1892069,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/23/2024 23:03:40,Kiramat Ullah,BMC Res Notes. 2014 Oct 25;7:759. doi: 10.1186/1756-0500-7-759.,2534477,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,No,,No,,,,,,,,It is a case report.,
4/17/2024 16:43:05,EW,Vopr Med Khim. 1989 Nov-Dec;35(6):31-6.,2560868,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:44:34,EW,Transplantation. 1985 Oct;40(4):376-83. doi: 10.1097/00007890-198510000-00007.,2996186,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/29/2024 20:51:15,Yi-Chan Lee,Transplantation. 1985 Oct;40(4):376-83. doi: 10.1097/00007890-198510000-00007.,2996186,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/14/2024 17:46:10,Kiramat Ullah,BMC Nephrol. 2021 Nov 21;22(1):388. doi: 10.1186/s12882-021-02600-x.,3480244,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,No,,No,,,,,,,,,
4/22/2024 14:49:33,Kiramat Ullah,"Potential Association of the Oral Microbiome with Trimethylamine N-Oxide Quantification in Mexican Patients with Myocardial InfarctionHernández-Ruiz P, Escalona Montaño AR, Amezcua-Guerra LM, González-Pacheco H, Niccolai E, Amedei A, Aguirre-García MM.Mediators Inflamm. 2024 Feb 20;2024:3985731. doi: 10.1155/2024/3985731. eCollection 2024.Hernández-Ruiz PMediators Inflamm20242024/02/28PMC10898950
10.1155/2024/3985731",3985731,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,Mexico,"Yes, measures untargeted metabolomics","UPLC–MS/MS, ultra-performance liquid chromatography–tandem mass spectrometry",Plasma,Yes,16S,Yes,The raw 16S sequences have been deposited at the National Center for Biotechnology Information (NCBI)-Sequence Read Archive (SRA) under project PRJNA878487.,,,,,,,,
4/17/2024 16:47:23,EW,Med Clin North Am. 1974 May;58(3):605-22. doi: 10.1016/s0025-7125(16)32147-2.,4207135,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/29/2024 20:56:28,Yi-Chan Lee,Med Clin North Am. 1974 May;58(3):605-22. doi: 10.1016/s0025-7125(16)32147-2.,4207135,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:48:10,EW,Vet Clin North Am. 1974 Feb;4(1):107-17. doi: 10.1016/s0091-0279(74)50010-3.,4274404,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/29/2024 20:57:18,Yi-Chan Lee,Vet Clin North Am. 1974 Feb;4(1):107-17. doi: 10.1016/s0091-0279(74)50010-3.,4274404,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:49:02,EW,Arzneimittelforschung. 1971 Jan;21(1):78-85.,4929247,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:45:06,EW,Jpn J Antibiot. 1983 Apr;36(4):826-37.,6348337,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:37:44,EW,Swed Dent J Suppl. 1995;107:1-68.,7638766,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/29/2024 16:42:28,Yi-Chan Lee,Swed Dent J Suppl. 1995;107:1-68.,7638766,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:37:19,EW,Eur Heart J. 1995 Apr;16 Suppl B:72-4. doi: 10.1093/eurheartj/16.suppl_b.72.,7671929,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/29/2024 16:26:02,Yi-Chan Lee,Eur Heart J. 1995 Apr;16 Suppl B:72-4. doi: 10.1093/eurheartj/16.suppl_b.72.,7671929,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:38:30,EW,Z Kardiol. 1994 Jan;83(1):2-8.,8147065,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:39:02,EW,Infect Dis Clin North Am. 1993 Mar;7(1):81-96.,8463655,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/29/2024 20:43:00,Yi-Chan Lee,Infect Dis Clin North Am. 1993 Mar;7(1):81-96.,8463655,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:36:31,EW,Antimicrob Agents Chemother. 1996 Apr;40(4):941-6. doi: 10.1128/AAC.40.4.941.,8849256,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/29/2024 16:25:04,Yi-Chan Lee,Antimicrob Agents Chemother. 1996 Apr;40(4):941-6. doi: 10.1128/AAC.40.4.941.,8849256,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:35:52,EW,Vestn Ross Akad Med Nauk. 1997;(3):23-6.,9181851,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:34:57,EW,Reprod Fertil Dev. 1997;9(5):509-14. doi: 10.1071/r97016.,9418980,"No, other study/review not about heart failure","no, animal model / cell experiement / human child, etc",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/29/2024 16:23:50,Yi-Chan Lee,Reprod Fertil Dev. 1997;9(5):509-14. doi: 10.1071/r97016.,9418980,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:34:21,EW,Ann Periodontol. 1998 Jul;3(1):127-41. doi: 10.1902/annals.1998.3.1.127.,9722697,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/29/2024 16:22:48,Yi-Chan Lee,Ann Periodontol. 1998 Jul;3(1):127-41. doi: 10.1902/annals.1998.3.1.127.,9722697,"No, other study/review not about heart failure",does not apply (eg review paper),,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
4/17/2024 16:32:35,EW,Circulation. 1998 Dec 8;98(23):2534-7. doi: 10.1161/01.cir.98.23.2534.,9843459,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
6/29/2024 16:21:46,Yi-Chan Lee,Circulation. 1998 Dec 8;98(23):2534-7. doi: 10.1161/01.cir.98.23.2534.,9843459,"No, other study/review not about heart failure","yes, human adult study (or combination human + animal)",,,"No, does not measure metabolomics or does not apply",,,,,,,,,,,,,,
