PubMed Search: https://pubmed.ncbi.nlm.nih.gov/?term=%28%28metabolomics%29+OR+%28metabolite%29+OR+%28metabolic+%29+OR+%28LCMS%29+or+%28LC-MS%29+OR+%28liquid+chromatography+mass+spectrometry%29+OR+%28GC-MS%29+OR+%28GCMS%29+OR+%28gas+chromatography+mass+spectrometry%29+OR+%28NMR%29+OR+%28Nuclear+magnetic+resonance+spectroscopy%29+%29+AND+%28%28Heart+failure+with+preserved+ejection+fraction%29+OR+%28heart+failure%29+OR+%28cardiac+infarction%29+OR+%28heart+arrest%29+OR+%28heart+attack%29%29+AND+%28%28human%29+OR+%28person%29+OR+%28patient%29+OR+%28patients%29+OR+%28Homo+sapiens%29%29+AND+%28%28microbe%29+OR+%28microbiome%29+OR+%28microbial%29+OR+%28microbially%29+OR+%28microbiota%29+OR+%28gut+dysbiosis%29+OR+%28microbes%29+OR+%28holobiont%29%29&sort=pubdate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMID,Title,Authors,Citation,First Author,Journal/Book,"Pub
Year",Create Date,PMCID,NIHMS ID,DOI,"Reviewer 
1",Assigned?,Completed?,"Reviewer
2",Assigned?,Completed?,Consensus?,,,,,,,,,,,,"Newcastle-Ottowa Score
https://www.ohri.ca/programs/clinical_epidemiology/nosgen.pdf"
38300390,Heart Failure: a Punch from the Gut,"Mahenthiran A, Wilcox J, Tang WHW.",Curr Heart Fail Rep. 2024 Apr;21(2):73-80. doi: 10.1007/s11897-024-00648-y. Epub 2024 Feb 1.,Mahenthiran A,Curr Heart Fail Rep,2024,2024/02/01,PMC10924029,,10.1007/s11897-024-00648-y,EW,Yes,Yes,,,,,,,,,,,,,,,,
38536007,"Acute myocarditis: an overview of pathogenesis, diagnosis and management","Zafeiri M, Knott K, Lampejo T.",Panminerva Med. 2024 Mar 27. doi: 10.23736/S0031-0808.24.05042-0. Online ahead of print.,Zafeiri M,Panminerva Med,2024,2024/03/27,,,10.23736/S0031-0808.24.05042-0,EW,Yes,Yes,,,,,,,,,,,,,,,,
38522483,Microbiome interactions with different risk factors in development of myocardial infarction,"Bijla M, Saini SK, Pathak AK, Bharadwaj KP, Sukhavasi K, Patil A, Saini D, Yadav R, Singh S, Leeuwenburgh C, Kumar P.",Exp Gerontol. 2024 Mar 27;189:112409. doi: 10.1016/j.exger.2024.112409. Online ahead of print.,Bijla M,Exp Gerontol,2024,2024/03/24,,,10.1016/j.exger.2024.112409,EW,Yes,Yes,,,,,,,,,,,,,,,,
38518247,Influence of angiotensin II on the gut microbiome: Modest effects in comparison to experimental factors,"R Muralitharan R, Nakai ME, Snelson M, Zheng T, Dinakis E, Xie L, Jama H, Paterson M, Shihata W, Wassef F, Vinh A, Drummond GR, Kaye DM, Mackay CR, Marques FZ.",Cardiovasc Res. 2024 Mar 22:cvae062. doi: 10.1093/cvr/cvae062. Online ahead of print.,R Muralitharan R,Cardiovasc Res,2024,2024/03/22,,,10.1093/cvr/cvae062,,Yes,Yes,,,,,,,,,,,,,,,,
38487926,Prophylactic Supplementation with Lactobacillus Reuteri or Its Metabolite GABA Protects Against Acute Ischemic Cardiac Injury,"Wang J, Zhang H, Yuan H, Chen S, Yu Y, Zhang X, Gao Z, Du H, Li W, Wang Y, Xia P, Wang J, Song M.",Adv Sci (Weinh). 2024 Mar 15:e2307233. doi: 10.1002/advs.202307233. Online ahead of print.,Wang J,Adv Sci (Weinh),2024,2024/03/15,,,10.1002/advs.202307233,,Yes,Yes,,,,,,,,,,,,,,,,
38117658,Protocol for the induction of innate immune memory in human smooth muscle cells and endothelial cells in vitro,"Sonnenberg J, Schwarz D, Lagache SM, Schnack L, Körner H, Leffers M, Hardege H, Liu Y, Reinecke H, Findeisen HM, Sohrabi Y.",STAR Protoc. 2024 Mar 15;5(1):102776. doi: 10.1016/j.xpro.2023.102776. Epub 2023 Dec 19.,Sonnenberg J,STAR Protoc,2024,2023/12/20,PMC10770756,,10.1016/j.xpro.2023.102776,,Yes,Yes,,,,,,,,,,,,,,,,
38152989,Metabolic Communication by SGLT2 Inhibition,"Billing AM, Kim YC, Gullaksen S, Schrage B, Raabe J, Hutzfeldt A, Demir F, Kovalenko E, Lassé M, Dugourd A, Fallegger R, Klampe B, Jaegers J, Li Q, Kravtsova O, Crespo-Masip M, Palermo A, Fenton RA, Hoxha E, Blankenberg S, Kirchhof P, Huber TB, Laugesen E, Zeller T, Chrysopoulou M, Saez-Rodriguez J, Magnussen C, Eschenhagen T, Staruschenko A, Siuzdak G, Poulsen PL, Schwab C, Cuello F, Vallon V, Rinschen MM.",Circulation. 2024 Mar 12;149(11):860-884. doi: 10.1161/CIRCULATIONAHA.123.065517. Epub 2023 Dec 28.,Billing AM,Circulation,2024,2023/12/28,PMC10922673,,10.1161/CIRCULATIONAHA.123.065517,,Yes,Yes,,,,,,,,,,,,,,,,
38463624,"The paradigm change from reactive medical services to 3PM in ischemic stroke: a holistic approach utilising tear fluid multi-omics, mitochondria as a vital biosensor and AI-based multi-professional data interpretation","Golubnitschaja O, Polivka J Jr, Potuznik P, Pesta M, Stetkarova I, Mazurakova A, Lackova L, Kubatka P, Kropp M, Thumann G, Erb C, Fröhlich H, Wang W, Baban B, Kapalla M, Shapira N, Richter K, Karabatsiakis A, Smokovski I, Schmeel LC, Gkika E, Paul F, Parini P, Polivka J.",EPMA J. 2024 Feb 27;15(1):1-23. doi: 10.1007/s13167-024-00356-6. eCollection 2024 Mar.,Golubnitschaja O,EPMA J,2024,2024/03/11,PMC10923756,,10.1007/s13167-024-00356-6,,Yes,Yes,,,,,,,,,,,,,,,,
38463085,Role of gut microbiota in cardiovascular diseases - a comprehensive review,"Rashid S, Sado AI, Afzal MS, Ahmed A, Almaalouli B, Waheed T, Abid R, Majumder K, Kumar V, Tejwaney U, Kumar S.",Ann Med Surg (Lond). 2023 Oct 18;86(3):1483-1489. doi: 10.1097/MS9.0000000000001419. eCollection 2024 Mar.,Rashid S,Ann Med Surg (Lond),2023,2024/03/11,PMC10923299,,10.1097/MS9.0000000000001419,,Yes,Yes,,,,,,,,,,,,,,,,
38292761,Regulatory mechanisms of dopamine metabolism in a marine Meyerozyma guilliermondii GXDK6 under NaCl stress as revealed by integrative multi-omics analysis,"Sun H, Bai H, Hu Y, He S, Wei R, Meng D, Jiang Q, Pan H, Shen P, Ou Q, Jiang C.",Synth Syst Biotechnol. 2024 Jan 6;9(1):115-126. doi: 10.1016/j.synbio.2024.01.002. eCollection 2024 Mar.,Sun H,Synth Syst Biotechnol,2024,2024/01/31,PMC10825490,,10.1016/j.synbio.2024.01.002,,Yes,Yes,,,,,,,,,,,,,,,,
