raw_pval,metabolite,studyID,adj_pval_fdr,pathway,functional description,other notes
8.94E-05,Kynurenine,D3,0.01127,5ht,metabolite of tryptophan,
9.24E-07,Serotonin,D3,0.00012,5ht,,
3.04E-08,Serotonin,D1,0.00002,5ht,,
5.22E-05,Tryptamine,D1,0.02927,5ht,downastream of tryptophan,
0.0001013776002,N-Acetyl-L-Alanine,D3,0.01277,amino acid,associated w colorectal and prostate cancer,
3.04E-08,Gentisic acid,D1,0.00002,antioxidant,"commercial antioxidant component;  a minor (1%) product of the metabolic break down of aspirin, excreted by the kidneys. It is also found in the African tree Alchornea cordifolia and in wine",
6.14E-11,Glutathione,D1,3.44E-08,antioxidant,"A tripeptide with many roles in cells. It conjugates to drugs to make them more soluble for excretion, is a cofactor for some enzymes, is involved in protein disulfide bond rearrangement and reduces peroxides. ",
1.52E-05,Cystamine,D3,0.00192,antioxidant,"human metabolite, Cystamine is an organic disulfide obtgained by oxidative dimerisation of cysteamine. It has a role as an EC 2.3.2.13 (protein-glutamine gamma-glutamyltransferase) inhibitor. It is an organic disulfide and a primary amino compound. It is functionally related to a cysteamine.
functionally related to Cysteamine",
0.0001465577618,Cysteamine,D3,0.01847,antioxidant,functionally related to cystamine,
2.05E-05,Catechin,D1,0.01152,antioxidant ,It has a role as an antioxidant and a plant metabolite. It is an enantiomer of a (-)-catechin.,
8.14E-05,4a-carbinolamine tetrahydrobiopterin,D1,0.04569,bacterial metabolite,produced by e coli; not clear function,
5.22E-05,7-methylguanine,D1,0.02927,bacterial metabolite,produced by sacchromices servasia ,
3.30E-05,Alpha-hydroxyisobutyric acid,D1,0.01850,bacterial metabolite,2-hydroxyisobutyric acid is a 2-hydroxy monocarboxylic acid that is isobutyric acid bearing a hydroxy substituent at position 2. It is a metabolite of methyl tertiary-butyl ether. It has a role as a human xenobiotic metabolite. It is functionally related to an isobutyric acid. It is a conjugate acid of a 2-hydroxyisobutyrate.,
0.0001013776002,Asparagine,D3,0.01277,bacterial metabolite,"It has a role as a nutraceutical, a micronutrient, a human metabolite, a Saccharomyces cerevisiae metabolite, an Escherichia coli metabolite, a mouse metabolite and a plant metabolite. It is an aspartate family amino acid, a proteinogenic amino acid, an asparagine and a L-alpha-amino acid. It is a conjugate base of a L-asparaginium. It is a conjugate acid of a L-asparaginate. It is an enantiomer of a D-asparagine. It is a tautomer of a L-asparagine zwitterion.",
1.41E-10,Tridecanol,D1,7.92E-08,bacterial metabolite,"long cvhain fatty alcohol; human, animal, and bacterial metabolite",
1.04E-10,2-Methylbutyrylcarnitine,D3,1.32E-08,bacterial metabolite,produced from amino acid leucine during nutrient starvation in bacteria. It has a role as a bacterial metabolite and a human metabolite. It is a conjugate acid of a 2-methylbutyrate.,
1.77E-06,Cadaverine,D1,0.00099,bacterial metabolite ,"Cadaverine is an alkane-alpha,omega-diamine comprising a straight-chain pentane core with amino substitutents at positions 1 and 5. A colourless syrupy liquid diamine with a distinctive unpleasant odour, it is a homologue of putresceine and is formed by the bacterial decarboxylation of lysine that occurs during protein hydrolysis during putrefaction of animal tissue. It is also found in plants such as soyabean. It has a role as a plant metabolite, a Daphnia magna metabolite, an Escherichia coli metabolite and a mouse metabolite. ",
8.59E-07,Erythrose,D1,0.00048,bacterial metabolite ,plant metabolite,
9.16E-06,"1,2,3-trihydroxybenzene",D1,0.00514,Benzene,"antiseptic properties, Pure pyrogallol was found to be extremely genotoxic when inserted into cultured cells, but α amylase proteins protect against its toxicity during everyday exposure",
5.17E-11,Alizarin,D1,0.00000,diet,plant metabolite,
8.04E-13,Behenic acid,D1,4.51E-10,diet,"long chain fatty acid, plant metabolite",
1.15E-05,Caffeic acid,D1,0.00646,diet,plant metabolite,
1.26E-05,Coniferin,D1,0.00707,diet,plant metabolite,
1.60E-06,D-myo-inositol 4-phosphate,D1,0.00090,diet,algal metabolite,
1.03E-07,Pyrrole-2-carboxylic acid,D1,0.00006,diet,"potentially related to arginine metabolism in prostate cancer; otherwise no direct link to urea pathway; plant metabolite, potentially related to soybean metabolism",
1.79E-09,Quinic acid,D1,1.002E-06,diet,"plant metabolite, related to coffeee. ",
