https://www.webofscience.com/wos/woscc/summary/13c7b288-87b2-4c73-b7a3-f3e7c6ff4407-db620582/relevance/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Beale, AL; O'Donnell, JA; Nakai, ME; Nanayakkara, S; Vizi, D; Carter, K; Dean, E; Ribeiro, RV; Yiallourou, S; Carrington, MJ; Marques, FZ; Kaye, DM",,,,"Beale, Anna L.; O'Donnell, Joanne A.; Nakai, Michael E.; Nanayakkara, Shane; Vizi, Donna; Carter, Kaye; Dean, Eliza; Ribeiro, Rosilene, V; Yiallourou, Stephanie; Carrington, Melinda J.; Marques, Francine Z.; Kaye, David M.",,,The Gut Microbiome of Heart Failure With Preserved Ejection Fraction,JOURNAL OF THE AMERICAN HEART ASSOCIATION,,,,,,,,,,,,,,,,,"Marques, Francine/AAH-1562-2021; Nanayakkara, Shane/L-1233-2017; O'Donnell, Joanne/HHZ-2106-2022","Marques, Francine/0000-0003-4920-9991; Nanayakkara, Shane/0000-0002-0146-6588; O'Donnell, Joanne/0000-0002-8434-1050; Beale, Anna/0000-0002-3802-1961; Ribeiro, Rosilene/0000-0001-8312-185X; Nakai, Michael/0000-0002-6400-8007",,,,,,,,,,,,,2047-9980,,,,,Jul 6,2021,10,13,,,,,,,e020654,10.1161/JAHA.120.020654,0,,,,,,,,34212778,,,,,WOS:000669906300055,0
J,"Ferro, F; Spelat, R; Valente, C; Contessotto, P",,,,"Ferro, Federico; Spelat, Renza; Valente, Camilla; Contessotto, Paolo",,,Understanding How Heart Metabolic Derangement Shows Differential Stage Specificity for Heart Failure with Preserved and Reduced Ejection Fraction,BIOMOLECULES,,,,,,,,,,,,,,,,,"CONTESSOTTO, PAOLO/HKF-2264-2023; Ferro, Federico/IYI-9847-2023; Spelat, Renza/AAZ-2980-2021; CONTESSOTTO, PAOLO/JAN-9349-2023; Ferro, Federico/GPK-8383-2022","Spelat, Renza/0000-0001-5794-8976; CONTESSOTTO, PAOLO/0000-0002-6990-9883; Ferro, Federico/0000-0002-6023-8227; Valente, Camilla/0000-0003-3084-1102",,,,,,,,,,,,,,2218-273X,,,,JUL,2022,12,7,,,,,,,969,10.3390/biom12070969,0,,,,,,,,35883525,,,,,WOS:000832275000001,0
J,"Yu, W; Jiang, YF; Xu, H; Zhou, YF",,,,"Yu, Wei; Jiang, Yufeng; Xu, Hui; Zhou, Yafeng",,,The Interaction of Gut Microbiota and Heart Failure with Preserved Ejection Fraction: From Mechanism to Potential Therapies,BIOMEDICINES,,,,,,,,,,,,,,,,,"ZHOU, yf/IAO-5497-2023; li, xiao/GSN-6181-2022; ZHOU, YUN/ISA-9160-2023","ZHOU, YUN/0009-0003-5061-8730; Jiang, Yufeng/0000-0003-4553-4834",,,,,,,,,,,,,,2227-9059,,,,FEB,2023,11,2,,,,,,,442,10.3390/biomedicines11020442,0,,,,,,,,36830978,,,,,WOS:000938884400001,0
J,"Wang, YC; Koay, YC; Pan, C; Zhou, ZQ; Tang, WL; Wilcox, J; Li, XS; Zagouras, A; Marques, F; Allayee, H; Rey, FE; Kaye, DM; O'Sullivan, JF; Hazen, SL; Cao, Y; Lusis, AJ",,,,"Wang, Yu-Chen; Koay, Yen Chin; Pan, Calvin; Zhou, Zhiqiang; Tang, Wilson; Wilcox, Jennifer; Li, Xinmin S.; Zagouras, Alexia; Marques, Francine; Allayee, Hooman; Rey, Federico E.; Kaye, David M.; O'Sullivan, John F.; Hazen, Stanley L.; Cao, Yang; Lusis, Aldons J.",,,Indole-3-Propionic Acid Protects Against Heart Failure With Preserved Ejection Fraction,CIRCULATION RESEARCH,,,,,,,,,,,,,,,,,"Marques, Francine/AAH-1562-2021; Zhou, Zhiqiang/HIR-4954-2022","Marques, Francine/0000-0003-4920-9991; Zhou, Zhiqiang/0000-0002-8914-0864; Wilcox, Jennifer/0000-0001-6277-1079; Koay, Yen Chin/0000-0002-6704-5495; Wang, Yu-Chen/0000-0002-0690-2422; Tang, W. H. Wilson/0000-0002-8335-735X; Li, Xinmin S./0000-0003-4946-4271",,,,,,,,,,,,,0009-7330,1524-4571,,,,Feb 16,2024,134,4,,,,,371,389,,10.1161/CIRCRESAHA.123.322381,0,,,,,,,,38264909,,,,,WOS:001161827900009,0
J,"Sata, Y; Marques, FZ; Kaye, DM",,,,"Sata, Yusuke; Marques, Francine Z.; Kaye, David M.",,,The Emerging Role of Gut Dysbiosis in Cardio-metabolic Risk Factors for Heart Failure,CURRENT HYPERTENSION REPORTS,,,,,,,,,,,,,,,,,"Marques, Francine/AAH-1562-2021; Kaye, David/AAF-1202-2021","Marques, Francine/0000-0003-4920-9991; Kaye, David/0000-0003-4058-0372",,,,,,,,,,,,,1522-6417,1534-3111,,,,May 8,2020,22,5,,,,,,,38,10.1007/s11906-020-01046-0,0,,,,,,,,32385705,,,,,WOS:000531148700001,0
J,"Dong, ZX; Zheng, SJ; Shen, ZQ; Luo, YC; Hai, X",,,,"Dong, Zengxiang; Zheng, Sijia; Shen, Zhaoqian; Luo, Yingchun; Hai, Xin",,,Trimethylamine N-Oxide is Associated with Heart Failure Risk in Patients with Preserved Ejection Fraction,LABORATORY MEDICINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0007-5027,1943-7730,,,,Jul 1,2021,52,4,,,,,346,351,,10.1093/labmed/lmaa075,0,,,,,,,,33135738,,,,,WOS:000926669500010,0
J,"Kinugasa, Y; Nakamura, K; Kamitani, H; Hirai, M; Yanagihara, K; Kato, M; Yamamoto, K",,,,"Kinugasa, Yoshiharu; Nakamura, Kensuke; Kamitani, Hiroko; Hirai, Masayuki; Yanagihara, Kiyotaka; Kato, Masahiko; Yamamoto, Kazuhiro",,,Trimethylamine N-oxide and outcomes in patients hospitalized with acute heart failure and preserved ejection fraction,ESC HEART FAILURE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2055-5822,,,,,JUN,2021,8,3,,,,,2103,2110,,10.1002/ehf2.13290,0,,Mar 2021,,,,,,33734604,,,,,WOS:000630040900001,0
J,"Lupu, VV; Raileanu, AA; Mihai, CM; Morariu, ID; Lupu, A; Starcea, IM; Frasinariu, OE; Mocanu, A; Dragan, F; Fotea, S",,,,"Lupu, Vasile Valeriu; Adam Raileanu, Anca; Mihai, Cristina Maria; Morariu, Ionela Daniela; Lupu, Ancuta; Starcea, Iuliana Magdalena; Frasinariu, Otilia Elena; Mocanu, Adriana; Dragan, Felicia; Fotea, Silvia",,,The Implication of the Gut Microbiome in Heart Failure,CELLS,,,,,,,,,,,,,,,,,"adamraileanu, anca/KFA-1383-2024; Lupu, Vasile Valeriu/C-1694-2014; Mihai, Cristina Maria/AAF-2026-2020; Lupu, Ancuta/IVV-3125-2023; Morariu, Ionela-Daniela/ABD-4229-2021","Lupu, Vasile Valeriu/0000-0003-2640-8795; Mihai, Cristina Maria/0000-0001-8844-0593; Morariu, Ionela-Daniela/0000-0002-7083-8197; Ignat, Ancuta/0000-0001-8147-3632; OTILIA, FRASINARIU/0000-0002-5836-1517",,,,,,,,,,,,,,2073-4409,,,,APR,2023,12,8,,,,,,,1158,10.3390/cells12081158,0,,,,,,,,37190067,,,,,WOS:000977751600001,0
J,"Desai, D; Desai, A; Jamil, A; Csendes, D; Gutlapalli, SD; Prakash, K; Swarnakari, KM; Bai, MA; Manoharan, MP; Raja, R; Khan, S",,,,"Desai, Darshi; Desai, Aditya; Jamil, Aneeque; Csendes, Denise; Gutlapalli, Sai D.; Prakash, Keerthana; Swarnakari, Kiran M.; Bai, Meena; Manoharan, Mohana P.; Raja, Rabab; Khan, Safeera",,,Re-defining the Gut Heart Axis: A Systematic Review of the Literature on the Role of Gut Microbial Dysbiosis in Patients With Heart Failure,CUREUS JOURNAL OF MEDICAL SCIENCE,,,,,,,,,,,,,,,,,"Khan, Safeera/AAU-3958-2020","Khan, Safeera/0000-0002-9903-5080",,,,,,,,,,,,,,2168-8184,,,,Feb 12,2023,15,2,,,,,,,e34902,10.7759/cureus.34902,0,,,,,,,,36938237,,,,,WOS:000952330800015,0
J,"Guan, XQ; Wang, CH; Cheng, P; Fu, LY; Wu, QJ; Cheng, G; Guan, L; Sun, ZJ",,,,"Guan, Xue-Qing; Wang, Chuan-He; Cheng, Peng; Fu, Ling-Yu; Wu, Qi-Jun; Cheng, Gong; Guan, Lin; Sun, Zhi-Jun",,,"Effects of Empagliflozin on Gut Microbiota in Heart Failure with a Preserved Ejection Fraction: The Design of a Pragmatic Randomized, Open-Label Controlled Trial (EMPAGUM)",DRUG DESIGN DEVELOPMENT AND THERAPY,,,,,,,,,,,,,,,,,"liu, huan/JKI-3764-2023; tian, ye/KGL-6485-2024; Li, Chun/KBC-9591-2024; wang, hao/JKH-5890-2023; Jiang, Yu/JEZ-9814-2023; Yu, Chongxiu/KDM-7354-2024; WANG, HUI/JFA-9683-2023; Yan, Jing/JFA-6705-2023; chen, yanhong/JVE-0289-2024; li, jing/JEF-8436-2023; Chen, Chao/JHS-6563-2023; Yang, Tian/JFB-1008-2023; Liu, Yujie/IWU-6535-2023","Yu, Chongxiu/0000-0002-8221-6221; Liu, Yujie/0000-0002-1153-6156",,,,,,,,,,,,,1177-8881,,,,,,2023,17,,,,,,1495,1502,,10.2147/DDDT.S404479,0,,,,,,,,37223722,,,,,WOS:000995763000001,0
