heart_cond	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS
studyID	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1
sampleID	NM-1	NM-10	NM-11	NM-12	NM-13	NM-14	NM-15	NM-16	NM-17	NM-18	NM-19	NM-2	NM-20	NM-21	NM-22	NM-23	NM-24	NM-3	NM-4	NM-5	NM-6	NM-7	NM-8	NM-9	PD-1	PD-10	PD-11	PD-12	PD-13	PD-14	PD-15	PD-16	PD-17	PD-18	PD-19	PD-2	PD-20	PD-3	PD-4	PD-5	PD-6	PD-7	PD-8	PD-9	PN-10	PN-11	PN-12	PN-13	PN-14	PN-15	PN-16	PN-17	PN-18	PN-19	PN-2	PN-20	PN-3	PN-5	PN-6	PN-7	PN-8	PN-9	RD-1	RD-10	RD-11	RD-12	RD-13	RD-14	RD-15	RD-17	RD-18	RD-19	RD-2	RD-4	RD-5	RD-6	RD-8	RN-1	RN-10	RN-12	RN-13	RN-14	RN-15	RN-16	RN-17	RN-18	RN-19	RN-20	RN-21	RN-3	RN-4	RN-5	RN-6	RN-7	RN-8
Acetopyruvic acid	4.91562e-08	0.000326088	4.91562e-08	0.00090507	4.07087e-05	5.71751e-05	4.91562e-08	0.000133424	5.87206e-05	3.27228e-05	4.91562e-08	0.000323534	4.91562e-08	0.000670203	1.95672e-05	0.000220186	0.000149096	0.000250675	4.57273e-06	4.91562e-08	8.87417e-05	4.12439e-05	4.86378e-06	0.000438379	0.000123716	1.58416e-06	0.000668081	4.08941e-06	0.000669094	9.20475e-05	4.91562e-08	4.91562e-08	0.000212576	2.95621e-05	3.11286e-05	1.37175e-06	0.001908853	7.04622e-06	0.000105774	1.87254e-06	6.89337e-05	4.91562e-08	6.10287e-05	0.000142881	2.67872e-05	2.89575e-05	1.26668e-05	4.91562e-08	4.91562e-08	3.38572e-05	4.91562e-08	2.55152e-05	3.24816e-05	4.91562e-08	2.92701e-05	0.000108127	0.000243179	4.91562e-08	0.000237378	0.00070567	6.21036e-05	0.000498559	0.000116634	3.38493e-05	0.001409689	4.91562e-08	4.02107e-05	6.98766e-05	0.000614788	8.7771e-06	2.97391e-05	4.91562e-08	4.91562e-08	3.34658e-06	4.00294e-05	1.75519e-06	6.38753e-05	0.045645277	8.78429e-05	0.174563593	0.000770453	0.000197283	0.000445457	0.000130449	8.02447e-05	0.000165666	1.47203e-05	0.000172641	4.23722e-05	0.00028041	5.89852e-05	0.000128119	4.91562e-08	0.000101021	0.000130104
Allantoic acid	4.91562e-08	0.000632307	4.91562e-08	0.001360545	0.000134728	4.91562e-08	4.91562e-08	0.000123933	4.97833e-05	4.91562e-08	1.64143e-05	7.70229e-05	4.91562e-08	3.79018e-05	5.55751e-05	4.91562e-08	2.01141e-05	4.91562e-08	5.81445e-05	4.91562e-08	4.91562e-08	5.60559e-05	0.000400977	0.000347824	4.91562e-08	8.97499e-05	4.7041e-05	4.05348e-05	0.000151181	0.000706546	0.001861871	0.002141743	0.001310552	4.91562e-08	0.001499222	0.000342851	6.35586e-05	0.00039746	0.000535248	0.001084156	3.19652e-05	0.000537321	4.91562e-08	0.000510795	0.000102837	5.69303e-05	0.000145818	0.000510847	4.91562e-08	1.17212e-05	4.91562e-08	0.000225664	6.98877e-05	1.17407e-05	4.91562e-08	8.16951e-05	4.91562e-08	4.91562e-08	0.000102542	0.000142449	0.000212885	0.000104475	8.36776e-05	0.000431048	0.000338017	4.91562e-08	4.91562e-08	4.91562e-08	0.000528055	3.07241e-05	6.32308e-05	1.23219e-05	1.27041e-05	4.91562e-08	0.000105454	0.000176745	0.000781249	0.000130247	0.005117557	4.91562e-08	1.51505e-05	9.97689e-05	4.91562e-08	7.29681e-05	0.000232542	0.000188097	0.000123495	4.91562e-08	0.00012909	0.000270866	0.001274397	4.91562e-08	6.44719e-05	4.91562e-08	0.000374292
Aloeemodin	4.91562e-08	0.016038901	4.91562e-08	0.006092699	0.005477159	0.004238535	0.000184582	0.000872273	0.001758615	0.000343735	0.001454222	0.003979904	1.98359e-05	0.003594374	0.001798289	0.003273146	0.001262873	0.003037384	0.001890275	0.000385694	0.001399058	0.002096451	0.001555219	0.003239298	0.000182232	0.001915899	0.002006418	0.00144766	0.047088219	0.001334074	4.89123e-05	0.000691818	0.001168546	0.001553679	0.001160009	0.000627984	0.003425889	0.002587762	0.004702497	0.003805149	0.01576783	0.002389861	0.001843201	0.001930159	0.000877114	0.005742112	0.00138556	0.000823123	0.001226704	0.000735653	0.004013311	1.67136e-05	0.000329969	9.25103e-05	0.000519979	0.001244072	0.001591646	0.001231194	0.002251759	0.001437785	0.001086709	0.001113383	0.001560354	0.004860743	0.001637838	0.001345491	0.001453812	0.002008381	0.005405144	0.012688471	0.004176659	0.006150967	0.000787727	0.001057505	0.000244801	0.001368559	0.013700702	0.003084306	0.006395173	0.001496393	0.002869438	0.000751044	0.003992076	0.001253644	0.002476534	0.002526	0.001363145	0.002406254	0.002282676	0.001310249	0.002024693	0.000598783	0.002388845	0.000553627	0.03519505
Daidzein	4.91562e-08	0.005174214	0.000130777	0.003150911	0.000635989	0.000279455	0.000543734	0.001632354	0.000788638	0.000263952	0.001361275	0.002495275	0.000451893	7.87848e-05	8.74133e-05	0.001086927	0.000279968	0.000630725	0.000362902	0.001325869	0.000311947	0.000837233	0.00028579	0.001657864	0.000119618	0.001207521	0.002083305	0.000915323	0.008347422	0.000140084	0.000132982	0.000290381	0.005513958	0.002862575	0.000541392	0.003239404	0.001082632	0.002884763	0.002902259	0.000710831	0.002352819	0.00172737	0.001224763	0.004470381	0.001393511	0.001537647	0.001276024	0.000559638	0.000559264	0.000872997	0.000546922	0.000155777	0.000688427	0.000215781	0.000144218	0.001613418	0.003424675	0.003229698	0.001784398	0.004855547	0.000986855	0.000907769	0.002103616	0.008460454	7.41152e-05	3.20946e-05	0.000466594	0.000236571	0.003250196	0.010610959	0.001367136	0.004147549	0.002280422	0.000365231	0.000208309	0.000555018	0.021540451	0.001373153	0.00128135	6.55797e-05	0.001001851	0.000149929	0.001780551	5.10056e-05	0.000685962	0.00113578	0.00023795	0.000179582	0.001032859	0.000214047	0.000269933	8.79525e-05	0.002437147	0.000155528	0.042208953
Gallocatechin	4.91562e-08	0.000909643	4.91562e-08	0.000858366	0.000786589	0.000417061	0.001415897	0.000493146	0.005398923	0.000145181	0.000823501	0.001818053	0.308593476	0.001176512	0.000500463	0.000813117	0.220338477	0.000530597	0.000464334	0.002143424	0.000323836	0.001217956	0.000289227	0.0004258	0.000145899	0.000278549	0.001181872	0.000471424	0.002844483	0.001091553	1.65464e-05	0.000695878	0.000587789	0.001192872	0.000276941	0.000222387	0.001670907	0.000540038	0.000331368	0.001331198	0.000511182	0.00058004	0.000164066	0.000546638	0.000371691	0.001086105	0.00027453	0.000792089	0.000295673	0.000531529	0.00057973	4.91562e-08	0.000386825	0.000158044	0.000357538	0.000779794	0.000442031	0.000391755	0.000230254	0.000328674	0.000383013	0.000568769	0.00085559	0.000459971	0.000339725	0.000330356	0.000431784	0.000112386	0.000780502	0.000785048	0.000469952	0.000422269	0.000638635	0.043764781	0.000527969	0.000754935	0.000614815	0.000825237	0.000370511	0.000287146	0.000278477	0.000109378	0.000110544	0.000284423	0.000227194	0.000181438	0.000212447	0.000655131	0.000253285	0.00030567	0.000443914	8.73522e-05	0.001938052	2.57601e-05	0.000153214
Glutamyl-valine	4.91562e-08	4.91562e-08	4.91562e-08	4.91562e-08	0.007021155	4.91562e-08	0.001083091	4.91562e-08	0.003446725	9.87899e-05	0.000102369	8.0371e-05	4.91562e-08	1.22452e-05	0.000166725	0.000264057	1.38207e-05	9.03617e-05	2.93377e-05	0.001132473	4.91562e-08	0.001808452	0.007691901	4.91562e-08	4.91562e-08	4.91562e-08	1.1817e-05	4.91562e-08	4.91562e-08	5.58158e-05	0.000254964	0.000216695	0.00359419	0.000552771	0.001799488	4.91562e-08	8.03737e-05	0.000117523	4.91562e-08	0.000926675	4.91562e-08	4.91562e-08	4.91562e-08	4.91562e-08	4.91562e-08	4.91562e-08	4.91562e-08	4.91562e-08	9.04607e-05	1.20682e-05	4.30221e-05	4.91562e-08	9.11573e-06	4.91562e-08	4.91562e-08	0.014431794	4.91562e-08	4.91562e-08	5.68294e-05	1.51301e-05	4.91562e-08	0.000427415	4.91562e-08	0.000328115	0.000338691	4.91562e-08	0.000176479	4.91562e-08	0.004698906	0.004651862	4.91562e-08	4.91562e-08	0.001708915	4.91562e-08	4.91562e-08	4.91562e-08	0.000751059	1.48464e-05	0.014344552	4.91562e-08	2.1334e-05	4.91562e-08	3.50965e-05	4.91562e-08	4.91562e-08	4.91562e-08	1.28524e-05	4.91562e-08	0.007941192	4.91562e-08	8.46467e-05	0.000178808	4.91562e-08	0.000176115	0.000206785
Sinapinic acid	4.91562e-08	0.000661264	4.79123e-05	0.003110441	0.001464393	0.002016522	0.000216078	0.000676199	0.000986557	0.000535071	0.000468398	0.003821251	0.000210087	0.001167431	0.000819401	0.00088759	2.42675e-05	0.002027185	0.000600075	0.000624072	1.46142e-05	0.001360602	0.000762559	0.000994105	0.000593362	0.002742585	0.002011175	0.000967628	0.005643626	0.001067638	0.000948693	0.000156616	0.004584332	0.002804575	0.001245918	0.001170072	0.001590914	0.001558974	0.000607775	0.000242227	0.002032102	0.045880625	0.00349188	0.002150843	0.002774718	0.015485014	0.027572944	0.002651771	0.002232425	0.00107456	0.003629338	0.000133173	0.002846541	1.80312e-05	0.004815562	0.00263458	0.002226095	0.003766637	0.025251408	0.024755205	0.003493606	0.003950806	0.003921388	0.000359619	0.003924325	0.002148988	2.9597e-05	0.000214615	0.003896161	5.57396e-05	0.016216691	0.004388917	0.00148284	0.001575224	9.11455e-05	0.001671791	0.001855736	0.004903549	0.001347046	0.000175679	0.007488128	1.28388e-05	0.009064606	0.000111426	0.00177055	0.003323446	0.000347305	0.000152269	0.002857203	0.00167805	0.00193219	0.000227524	0.004098068	0.000148016	0.003109037
Taurine	4.91562e-08	0.14907102	4.91562e-08	0.066080643	0.057318624	0.023195595	0.231400156	0.014449947	0.044209501	0.018815945	0.208633145	0.010600986	0.00704384	0.042571723	0.019302795	0.073623817	0.015641996	0.006244842	0.002590085	0.371670742	0.004609927	0.148013021	0.076808044	0.041692025	0.036587949	0.003405646	0.014142859	0.019178205	0.407151993	0.018352868	0.003992407	0.003322764	0.0059605	0.17754368	0.017929633	0.023351216	0.028139452	0.003747622	0.006894788	0.250314565	0.040835636	0.015715383	0.005589898	0.004473053	0.028877084	0.022170747	0.014521938	0.005329813	0.004387795	0.001879333	0.009054724	0.018715044	0.014477386	0.007373592	0.01450997	0.283172179	0.127915088	0.034219069	0.082180949	0.410444804	0.063159576	0.227784926	0.190742003	0.002869649	0.005684524	0.003947327	0.003470352	0.001945749	0.020033846	0.038445513	0.012861941	0.006057023	0.046415517	0.022085404	0.006316164	0.005609102	0.01003904	0.009129894	0.076453579	0.005800377	0.087701416	0.007460374	0.130066187	0.008891616	0.010150211	0.011910004	0.004957691	0.003233329	0.004982793	0.003846972	0.007158112	0.004131677	0.006064152	0.003193082	0.034912256
