heart_cond	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF
studyID	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2
sampleID	C10	C10	C11	C11	C14	C14	C15	C15	C16	C16	C18	C18	C19	C19	C20	C20	C21	C21	C22	C22	C23	C23	C24	C24	HF01	HF01	HF02	HF02	HF03	HF03	HF04	HF04	HF05	HF05	HF06	HF06	HF07	HF07	HF09	HF09	HF12	HF12	HF13	HF13	HF17	HF17
studyID	D2_SALIVA	D2_EBC	D2_EBC	D2_SALIVA	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_EBC	D2_SALIVA	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_SALIVA	D2_EBC	D2_EBC	D2_SALIVA
Methylamine	 6.9	 0.0	 0.0	23.9	 4.7	 0.0	 1.9	 0.0	 7.4	 0.0	 4.1	 0.0	 5.0	 0.0	 5.8	 0.0	 0.0	 0.0	 1.4	 0.0	 0.0	 0.0	 0.0	 9.1	10.5	 0.0	 7.7	 0.0	18.4	 0.0	 3.6	 0.0	 7.2	 0.0	 4.1	 0.0	17.6	 0.0	 0.0	 6.1	 0.0	 2.8	 2.5	 0.0	 0.0	 8.5
sn-Glycero-3-phosphocholine	 1.7	 0.0	 0.0	 1.7	 3.3	 0.0	 0.0	 0.0	16.0	 0.0	 3.9	 0.0	 0.0	 0.0	 2.8	 0.0	 0.0	 0.0	 3.6	 0.0	 3.9	 0.0	 0.0	 2.5	 0.6	 0.0	 3.3	 0.0	 0.0	 0.0	 8.3	 0.0	 1.9	 0.0	 3.9	 0.0	18.2	 0.0	 0.0	25.3	 0.0	 0.0	11.6	 0.0	 0.0	 0.0
Dimethylamine	 3.9	 0.0	 0.0	 4.1	 3.6	 0.0	 3.9	 0.0	 7.2	 0.0	 3.0	 0.0	 4.1	 0.0	 4.7	 0.0	 1.4	 0.0	 2.5	 0.0	 2.8	 0.0	 0.0	13.5	 3.9	 0.0	11.6	 0.0	10.7	 0.0	 8.5	 0.0	 9.4	 0.0	 3.6	 0.0	 7.4	 0.0	 0.0	32.7	 0.0	 1.9	12.4	 0.0	 0.0	14.6
Ethylene glycol	0.0	4.2	2.7	0.0	0.0	0.0	0.0	1.4	0.0	2.3	0.0	0.0	0.0	3.1	0.0	1.4	0.0	0.0	0.0	3.7	0.0	1.9	6.7	0.0	0.0	4.5	0.0	3.7	0.0	2.4	0.0	7.2	0.0	2.6	0.0	2.1	0.0	3.8	1.8	0.0	1.7	0.0	0.0	1.6	0.0	0.0
Choline	 6.9	 0.0	 0.0	 7.7	 3.3	 0.0	 2.5	 0.0	11.6	 0.0	 4.7	 0.0	 1.9	 0.0	 2.5	 0.0	 2.2	 0.0	 2.2	 0.0	 1.9	 0.0	 0.0	22.3	 7.4	 0.0	25.0	 0.0	 8.8	 0.0	 6.6	 0.0	 8.8	 0.0	 3.0	 0.0	14.3	 0.0	 0.0	11.8	 0.0	 4.1	 4.7	 0.0	 0.0	36.9
Methanol	 68.2	 20.2	 20.6	 59.4	 97.4	 20.1	 59.4	 20.9	 99.6	 24.2	 72.9	 21.2	 68.5	 22.4	 86.1	 21.4	 81.4	 13.9	 83.9	 22.4	 59.1	 22.5	 23.2	 69.6	 96.8	 20.7	108.4	 20.5	 72.6	  0.0	 82.0	 19.9	 83.6	 21.0	 60.5	 20.5	 96.8	 20.7	 20.4	 84.7	 22.7	 64.1	 61.3	 22.7	 13.0	 79.2
Alanine	23.1	 0.0	 0.0	38.0	10.2	 0.0	 5.5	 0.0	36.3	 0.0	 8.0	 0.0	 6.6	 0.0	 9.1	 0.0	12.7	 0.0	 9.1	 0.0	17.3	 0.0	 0.0	44.0	36.3	 0.0	84.4	 0.0	21.5	 0.0	26.4	 0.0	33.3	 0.0	10.7	 0.0	94.6	 0.0	 0.0	55.6	 0.0	15.1	30.8	 0.0	 0.0	26.7
Pyruvate	  91.6	   8.2	   0.0	 153.5	  60.2	   0.0	  45.9	   7.6	 338.3	  10.6	  54.2	   0.0	  56.1	  12.8	  53.1	   9.3	  24.5	   0.0	  81.1	   0.0	  86.9	   0.0	   4.7	 302.8	  35.2	   0.0	 161.2	   7.9	  87.2	   7.4	  18.7	   0.0	  81.4	   1.8	  87.7	   0.0	 369.9	   8.7	   8.5	1310.4	   0.0	  78.1	  36.3	   0.0	   6.4	   0.0
Isopropanol	 8.5	 0.0	 0.0	 3.6	 4.4	 0.0	 3.6	 0.8	 4.7	 0.0	 5.5	 0.0	 7.7	 0.0	 6.1	 0.0	 4.1	 0.0	 3.0	 1.4	 3.6	 0.0	 0.0	 4.7	 8.0	 0.0	12.4	 1.2	 5.2	 0.7	10.7	 0.0	10.7	 0.0	 7.4	 0.8	23.7	 0.0	 0.0	 9.1	 0.9	 8.5	 5.8	 0.0	 0.0	 5.2
