2024-07-08 08:04:41 INFO::Writing function arguments to log file
2024-07-08 08:04:41 DEBUG::Function arguments
2024-07-08 08:04:41 DEBUG::Output folder: Maaslin2_d1_lm_CLR_notransf_log
2024-07-08 08:04:41 DEBUG::Min Abundance: 0.000000
2024-07-08 08:04:41 DEBUG::Min Prevalence: 0.001000
2024-07-08 08:04:41 DEBUG::Normalization: CLR
2024-07-08 08:04:41 DEBUG::Transform: LOG
2024-07-08 08:04:41 DEBUG::Analysis method: LM
2024-07-08 08:04:41 DEBUG::Max significance: 0.250000
2024-07-08 08:04:41 DEBUG::Random effects: studyID
2024-07-08 08:04:41 DEBUG::Fixed effects: heart_cond
2024-07-08 08:04:41 DEBUG::Correction method: BH
2024-07-08 08:04:41 DEBUG::Standardize: TRUE
2024-07-08 08:04:41 DEBUG::Cores: 1
2024-07-08 08:04:41 INFO::Verifying options selected are valid
2024-07-08 08:04:41 INFO::Determining format of input files
2024-07-08 08:04:41 INFO::Input format is data samples as rows and metadata samples as rows
2024-07-08 08:04:41 DEBUG::A total of 95 samples were found in both the data and metadata
2024-07-08 08:04:41 DEBUG::Reordering data/metadata to use same sample ordering
2024-07-08 08:04:41 INFO::Formula for random effects: expr ~ (1 | studyID)
2024-07-08 08:04:41 INFO::Formula for fixed effects: expr ~  heart_cond
2024-07-08 08:04:41 INFO::Filter data based on min abundance and min prevalence
2024-07-08 08:04:41 INFO::Total samples in data: 95
2024-07-08 08:04:41 INFO::Min samples required with min abundance for a feature not to be filtered: 0.095000
2024-07-08 08:04:41 INFO::Total filtered features: 0
2024-07-08 08:04:41 INFO::Filtered feature names from abundance and prevalence filtering:
2024-07-08 08:04:41 INFO::Total filtered features with variance filtering: 1
2024-07-08 08:04:41 INFO::Filtered feature names from variance filtering: sample
2024-07-08 08:04:41 INFO::Running selected normalization method: CLR
2024-07-08 08:04:42 INFO::Applying z-score to standardize continuous metadata
2024-07-08 08:04:42 INFO::Running selected transform method: LOG
2024-07-08 08:04:43 INFO::Running selected analysis method: LM
2024-07-08 08:04:43 INFO::Fitting model to feature number 1, Acetopyruvic.acid
2024-07-08 08:04:43 WARNING::Fitting problem for feature 1 returning NA
2024-07-08 08:04:43 INFO::Fitting model to feature number 2, Allantoic.acid
2024-07-08 08:04:43 WARNING::Fitting problem for feature 2 returning NA
2024-07-08 08:04:43 INFO::Fitting model to feature number 3, Aloeemodin
2024-07-08 08:04:43 WARNING::Fitting problem for feature 3 returning NA
2024-07-08 08:04:43 INFO::Fitting model to feature number 4, Daidzein
2024-07-08 08:04:43 WARNING::Fitting problem for feature 4 returning NA
2024-07-08 08:04:43 INFO::Fitting model to feature number 5, Gallocatechin
2024-07-08 08:04:43 WARNING::Fitting problem for feature 5 returning NA
2024-07-08 08:04:43 INFO::Fitting model to feature number 6, Glutamyl.valine
2024-07-08 08:04:43 WARNING::Fitting problem for feature 6 returning NA
2024-07-08 08:04:43 INFO::Fitting model to feature number 7, Sinapinic.acid
2024-07-08 08:04:43 WARNING::Fitting problem for feature 7 returning NA
2024-07-08 08:04:43 INFO::Fitting model to feature number 8, Taurine
2024-07-08 08:04:43 WARNING::Fitting problem for feature 8 returning NA
2024-07-08 08:04:43 INFO::Fitting model to feature number 9, Valerenic.acid
2024-07-08 08:04:43 WARNING::Fitting problem for feature 9 returning NA
2024-07-08 08:04:43 INFO::Fitting model to feature number 10, Senecioic.acid
2024-07-08 08:04:43 WARNING::Fitting problem for feature 10 returning NA
2024-07-08 08:04:43 INFO::Fitting model to feature number 11, Scopoletin
2024-07-08 08:04:43 WARNING::Fitting problem for feature 11 returning NA
2024-07-08 08:04:43 INFO::Fitting model to feature number 12, Urea
2024-07-08 08:04:43 WARNING::Fitting problem for feature 12 returning NA
2024-07-08 08:04:43 INFO::Fitting model to feature number 13, Maleimide
2024-07-08 08:04:43 WARNING::Fitting problem for feature 13 returning NA
2024-07-08 08:04:43 INFO::Fitting model to feature number 14, N.methylglutamic.acid
2024-07-08 08:04:43 WARNING::Fitting problem for feature 14 returning NA
2024-07-08 08:04:43 INFO::Fitting model to feature number 15, Resorcinol
2024-07-08 08:04:43 WARNING::Fitting problem for feature 15 returning NA
2024-07-08 08:04:43 INFO::Fitting model to feature number 16, X4.acetamino.phenol
2024-07-08 08:04:43 WARNING::Fitting problem for feature 16 returning NA
2024-07-08 08:04:43 INFO::Fitting model to feature number 17, Palmitoleic.acid
2024-07-08 08:04:43 WARNING::Fitting problem for feature 17 returning NA
2024-07-08 08:04:43 INFO::Fitting model to feature number 18, X2.monostearin
2024-07-08 08:04:44 WARNING::Fitting problem for feature 18 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 19, Ferulic.acid
2024-07-08 08:04:44 WARNING::Fitting problem for feature 19 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 20, X2.o.methyl.gluconic.acid
2024-07-08 08:04:44 WARNING::Fitting problem for feature 20 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 21, Tryptophol
2024-07-08 08:04:44 WARNING::Fitting problem for feature 21 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 22, X4.methylcatechol
2024-07-08 08:04:44 WARNING::Fitting problem for feature 22 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 23, X4.deoxyerythronic.acid
2024-07-08 08:04:44 WARNING::Fitting problem for feature 23 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 24, Furosemide
2024-07-08 08:04:44 WARNING::Fitting problem for feature 24 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 25, Cytidine
2024-07-08 08:04:44 WARNING::Fitting problem for feature 25 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 26, X2.ketobutyric.acid
2024-07-08 08:04:44 WARNING::Fitting problem for feature 26 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 27, X3.6.dimethyl.2.5.dihydroxy.pyrazine
2024-07-08 08:04:44 WARNING::Fitting problem for feature 27 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 28, X6.7.dimethyl.4.hydroxy.2.pteridinamine
2024-07-08 08:04:44 WARNING::Fitting problem for feature 28 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 29, X2.pyrrolidinone
2024-07-08 08:04:44 WARNING::Fitting problem for feature 29 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 30, X4.cumylphenol
2024-07-08 08:04:44 WARNING::Fitting problem for feature 30 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 31, X2.monopalmitin
2024-07-08 08:04:44 WARNING::Fitting problem for feature 31 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 32, Adrenaline
2024-07-08 08:04:44 WARNING::Fitting problem for feature 32 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 33, Isochlorogenic.acid
2024-07-08 08:04:44 WARNING::Fitting problem for feature 33 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 34, N.methyl.l.leucine
2024-07-08 08:04:44 WARNING::Fitting problem for feature 34 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 35, X1.2.4.butanetriol
2024-07-08 08:04:44 WARNING::Fitting problem for feature 35 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 36, Itaconic.acid
2024-07-08 08:04:44 WARNING::Fitting problem for feature 36 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 37, X3.indoleacetonitrile
2024-07-08 08:04:44 WARNING::Fitting problem for feature 37 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 38, X1.2.bis.aminothio.benzene
2024-07-08 08:04:44 WARNING::Fitting problem for feature 38 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 39, X5.6.dihydro.5.methyluracil
2024-07-08 08:04:44 WARNING::Fitting problem for feature 39 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 40, X4.hydroxy.benzoic.acid
2024-07-08 08:04:44 WARNING::Fitting problem for feature 40 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 41, X2.ketoisovaleric.acid
2024-07-08 08:04:44 WARNING::Fitting problem for feature 41 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 42, X2..hydroxyacetophenone
2024-07-08 08:04:44 WARNING::Fitting problem for feature 42 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 43, X3.methyl.2.ketobutyric.acid
2024-07-08 08:04:44 WARNING::Fitting problem for feature 43 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 44, Benzamide
2024-07-08 08:04:44 WARNING::Fitting problem for feature 44 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 45, Xylonic.acid
2024-07-08 08:04:44 WARNING::Fitting problem for feature 45 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 46, Purine
2024-07-08 08:04:44 WARNING::Fitting problem for feature 46 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 47, Cholesterone
2024-07-08 08:04:44 WARNING::Fitting problem for feature 47 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 48, Citrazinic
2024-07-08 08:04:44 WARNING::Fitting problem for feature 48 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 49, Beta.alanine
2024-07-08 08:04:44 WARNING::Fitting problem for feature 49 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 50, Homovanillic.acid
2024-07-08 08:04:44 WARNING::Fitting problem for feature 50 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 51, Phenylethylamine
2024-07-08 08:04:44 WARNING::Fitting problem for feature 51 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 52, X1.3.dihydroxypyridine
2024-07-08 08:04:44 WARNING::Fitting problem for feature 52 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 53, Pyrazine..3.6.dihydro.3.6.dimethyl.2.5.dihydroxy.
2024-07-08 08:04:44 WARNING::Fitting problem for feature 53 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 54, Hydroxypropanedioic.acid
2024-07-08 08:04:44 WARNING::Fitting problem for feature 54 returning NA
2024-07-08 08:04:44 INFO::Fitting model to feature number 55, Diacetone.alcohol
2024-07-08 08:04:44 WARNING::Fitting problem for feature 55 returning NA
