2024-07-10 08:56:36 INFO::Writing function arguments to log file
2024-07-10 08:56:36 DEBUG::Function arguments
2024-07-10 08:56:36 DEBUG::Output folder: Maaslin2_d3_lm_TSS_LOG
2024-07-10 08:56:36 DEBUG::Min Abundance: 0.000000
2024-07-10 08:56:36 DEBUG::Min Prevalence: 0.001000
2024-07-10 08:56:36 DEBUG::Normalization: TSS
2024-07-10 08:56:36 DEBUG::Transform: LOG
2024-07-10 08:56:36 DEBUG::Analysis method: LM
2024-07-10 08:56:36 DEBUG::Max significance: 0.250000
2024-07-10 08:56:36 DEBUG::Random effects: studyID
2024-07-10 08:56:36 DEBUG::Fixed effects: heart_cond
2024-07-10 08:56:36 DEBUG::Correction method: BH
2024-07-10 08:56:36 DEBUG::Standardize: TRUE
2024-07-10 08:56:36 DEBUG::Cores: 1
2024-07-10 08:56:36 INFO::Verifying options selected are valid
2024-07-10 08:56:36 INFO::Determining format of input files
2024-07-10 08:56:36 INFO::Input format is data samples as rows and metadata samples as rows
2024-07-10 08:56:36 DEBUG::A total of 44 samples were found in both the data and metadata
2024-07-10 08:56:36 DEBUG::Reordering data/metadata to use same sample ordering
2024-07-10 08:56:36 INFO::Formula for random effects: expr ~ (1 | studyID)
2024-07-10 08:56:36 INFO::Formula for fixed effects: expr ~  heart_cond
2024-07-10 08:56:36 INFO::Filter data based on min abundance and min prevalence
2024-07-10 08:56:36 INFO::Total samples in data: 44
2024-07-10 08:56:36 INFO::Min samples required with min abundance for a feature not to be filtered: 0.044000
2024-07-10 08:56:36 INFO::Total filtered features: 0
2024-07-10 08:56:36 INFO::Filtered feature names from abundance and prevalence filtering:
2024-07-10 08:56:36 INFO::Total filtered features with variance filtering: 2
2024-07-10 08:56:36 INFO::Filtered feature names from variance filtering: sample, studyID
2024-07-10 08:56:36 INFO::Running selected normalization method: TSS
2024-07-10 08:56:36 INFO::Applying z-score to standardize continuous metadata
2024-07-10 08:56:36 INFO::Running selected transform method: LOG
2024-07-10 08:56:36 INFO::Running selected analysis method: LM
2024-07-10 08:56:36 INFO::Fitting model to feature number 1, Histidine
2024-07-10 08:56:36 WARNING::Fitting problem for feature 1 returning NA
2024-07-10 08:56:36 INFO::Fitting model to feature number 2, N.carbomyl.aspartate
2024-07-10 08:56:36 WARNING::Fitting problem for feature 2 returning NA
2024-07-10 08:56:36 INFO::Fitting model to feature number 3, Acetyl.coA
2024-07-10 08:56:36 WARNING::Fitting problem for feature 3 returning NA
2024-07-10 08:56:36 INFO::Fitting model to feature number 4, p.aminobenzoate.p.AB
