2024-07-04 10:46:56 INFO::Writing function arguments to log file
2024-07-04 10:46:56 DEBUG::Function arguments
2024-07-04 10:46:56 DEBUG::Output folder: Maaslin2_lm_clr_log_out
2024-07-04 10:46:56 DEBUG::Min Abundance: 0.000000
2024-07-04 10:46:56 DEBUG::Min Prevalence: 0.001000
2024-07-04 10:46:56 DEBUG::Normalization: CLR
2024-07-04 10:46:56 DEBUG::Transform: LOG
2024-07-04 10:46:56 DEBUG::Analysis method: LM
2024-07-04 10:46:56 DEBUG::Max significance: 0.250000
2024-07-04 10:46:56 DEBUG::Random effects: studyID
2024-07-04 10:46:56 DEBUG::Fixed effects: heart_cond
2024-07-04 10:46:56 DEBUG::Correction method: BH
2024-07-04 10:46:56 DEBUG::Standardize: TRUE
2024-07-04 10:46:56 DEBUG::Cores: 1
2024-07-04 10:46:56 INFO::Verifying options selected are valid
2024-07-04 10:46:56 INFO::Determining format of input files
2024-07-04 10:46:56 INFO::Input format is data samples as rows and metadata samples as rows
2024-07-04 10:46:56 DEBUG::The following samples were found to have features but no metadata. They will be removed. 163,164,165,166,167,168,169,170,171,172,173,174,175
2024-07-04 10:46:56 DEBUG::A total of 162 samples were found in both the data and metadata
2024-07-04 10:46:56 DEBUG::Reordering data/metadata to use same sample ordering
2024-07-04 10:46:56 INFO::Formula for random effects: expr ~ (1 | studyID)
2024-07-04 10:46:56 INFO::Formula for fixed effects: expr ~  heart_cond
2024-07-04 10:46:56 INFO::Filter data based on min abundance and min prevalence
2024-07-04 10:46:56 INFO::Total samples in data: 162
2024-07-04 10:46:56 INFO::Min samples required with min abundance for a feature not to be filtered: 0.162000
2024-07-04 10:46:56 INFO::Total filtered features: 0
2024-07-04 10:46:56 INFO::Filtered feature names from abundance and prevalence filtering:
2024-07-04 10:46:56 INFO::Total filtered features with variance filtering: 1
2024-07-04 10:46:56 INFO::Filtered feature names from variance filtering: sample
2024-07-04 10:46:56 INFO::Running selected normalization method: CLR
2024-07-04 10:46:56 INFO::Applying z-score to standardize continuous metadata
2024-07-04 10:46:56 INFO::Running selected transform method: LOG
2024-07-04 10:46:57 INFO::Running selected analysis method: LM
2024-07-04 10:46:57 INFO::Fitting model to feature number 1, Isopropanol
2024-07-04 10:46:57 WARNING::Fitting problem for feature 1 returning NA
2024-07-04 10:46:57 INFO::Fitting model to feature number 2, Propionate
2024-07-04 10:46:57 WARNING::Fitting problem for feature 2 returning NA
2024-07-04 10:46:57 INFO::Fitting model to feature number 3, Ethylene.glycol
2024-07-04 10:46:57 WARNING::Fitting problem for feature 3 returning NA
2024-07-04 10:46:57 INFO::Fitting model to feature number 4, Pyruvate
2024-07-04 10:46:57 WARNING::Fitting problem for feature 4 returning NA
2024-07-04 10:46:57 INFO::Fitting model to feature number 5, Lactate
2024-07-04 10:46:57 WARNING::Fitting problem for feature 5 returning NA
2024-07-04 10:46:57 INFO::Fitting model to feature number 6, Methanol
2024-07-04 10:46:57 WARNING::Fitting problem for feature 6 returning NA
2024-07-04 10:46:57 INFO::Fitting model to feature number 7, Formate
2024-07-04 10:46:57 WARNING::Fitting problem for feature 7 returning NA
2024-07-04 10:46:57 INFO::Fitting model to feature number 8, Acetate
2024-07-04 10:46:57 WARNING::Fitting problem for feature 8 returning NA
2024-07-04 10:46:57 INFO::Fitting model to feature number 9, Acetone
2024-07-04 10:46:57 WARNING::Fitting problem for feature 9 returning NA
2024-07-04 10:46:57 INFO::Fitting model to feature number 10, X2.Methylbutyrylcarnitine
2024-07-04 10:46:57 WARNING::Fitting problem for feature 10 returning NA
2024-07-04 10:46:57 INFO::Fitting model to feature number 11, Histidine
2024-07-04 10:46:58 WARNING::Fitting problem for feature 11 returning NA
2024-07-04 10:46:58 INFO::Fitting model to feature number 12, Citrulline
2024-07-04 10:46:58 WARNING::Fitting problem for feature 12 returning NA
2024-07-04 10:46:58 INFO::Fitting model to feature number 13, ATP
2024-07-04 10:46:58 WARNING::Fitting problem for feature 13 returning NA
2024-07-04 10:46:58 INFO::Fitting model to feature number 14, Deoxycholic.Acid
2024-07-04 10:46:58 WARNING::Fitting problem for feature 14 returning NA
2024-07-04 10:46:58 INFO::Fitting model to feature number 15, Isocitrate
2024-07-04 10:46:58 WARNING::Fitting problem for feature 15 returning NA
2024-07-04 10:46:58 INFO::Fitting model to feature number 16, N.carbomyl.aspartate
2024-07-04 10:46:58 WARNING::Fitting problem for feature 16 returning NA
2024-07-04 10:46:58 INFO::Fitting model to feature number 17, Acetyl.coA
2024-07-04 10:46:58 WARNING::Fitting problem for feature 17 returning NA
2024-07-04 10:46:58 INFO::Fitting model to feature number 18, Taurodeoxycholate
2024-07-04 10:46:58 WARNING::Fitting problem for feature 18 returning NA
2024-07-04 10:46:58 INFO::Fitting model to feature number 19, Trimethylamine.N.oxide
2024-07-04 10:46:58 WARNING::Fitting problem for feature 19 returning NA
2024-07-04 10:46:58 INFO::Fitting model to feature number 20, Glutathione.oxidized.GSSG.
2024-07-04 10:46:58 WARNING::Fitting problem for feature 20 returning NA
2024-07-04 10:46:58 INFO::Fitting model to feature number 21, Serotonin
2024-07-04 10:46:58 WARNING::Fitting problem for feature 21 returning NA
2024-07-04 10:46:58 INFO::Fitting model to feature number 22, X3.phosphoglycerate
2024-07-04 10:46:58 WARNING::Fitting problem for feature 22 returning NA
2024-07-04 10:46:58 INFO::Fitting model to feature number 23, Mevalonate
2024-07-04 10:46:58 WARNING::Fitting problem for feature 23 returning NA
2024-07-04 10:46:58 INFO::Fitting model to feature number 24, α.keto.β.methylvaleric.acid
2024-07-04 10:46:58 WARNING::Fitting problem for feature 24 returning NA
2024-07-04 10:46:58 INFO::Fitting model to feature number 25, Xanthine
2024-07-04 10:46:58 WARNING::Fitting problem for feature 25 returning NA
2024-07-04 10:46:58 INFO::Fitting model to feature number 26, Uracil
2024-07-04 10:46:58 WARNING::Fitting problem for feature 26 returning NA
2024-07-04 10:46:58 INFO::Fitting model to feature number 27, Cholesterol.sulfate
2024-07-04 10:46:58 WARNING::Fitting problem for feature 27 returning NA
2024-07-04 10:46:58 INFO::Fitting model to feature number 28, Quercetin
2024-07-04 10:46:58 WARNING::Fitting problem for feature 28 returning NA
2024-07-04 10:46:58 INFO::Fitting model to feature number 29, Citraconic.acid
2024-07-04 10:46:58 WARNING::Fitting problem for feature 29 returning NA
2024-07-04 10:46:58 INFO::Fitting model to feature number 30, Malonyl.coA
2024-07-04 10:46:58 WARNING::Fitting problem for feature 30 returning NA
2024-07-04 10:46:58 INFO::Fitting model to feature number 31, X2.deoxyadenosine
2024-07-04 10:46:58 WARNING::Fitting problem for feature 31 returning NA
2024-07-04 10:46:58 INFO::Fitting model to feature number 32, Fructose.1.6.bisphosphate
2024-07-04 10:46:58 WARNING::Fitting problem for feature 32 returning NA
2024-07-04 10:46:58 INFO::Fitting model to feature number 33, Tropisetron
2024-07-04 10:46:58 WARNING::Fitting problem for feature 33 returning NA
2024-07-04 10:46:58 INFO::Fitting model to feature number 34, X5.hydroxyindoleacetic.acid
2024-07-04 10:46:58 WARNING::Fitting problem for feature 34 returning NA
